"","Pt1","Pt2","Pt4","Pt5","Pt6","Pt7","Pt8","Pt9","Pt10","Pt12","Pt13","Pt14","Pt15","Pt16","Pt19","Pt20","Pt22","Pt23","Pt25","Pt27","Pt28","Pt29","Pt31","Pt32","Pt35","Pt37","Pt38"
"FGR",3.09135871099661,1.83483536379716,2.14792741385501,-0.0650086693783173,1.87359640723507,3.98266981293925,2.02629113880622,1.74317684829154,2.10271539454466,1.29463253523029,3.02179693411143,2.67304241495752,0.94340863623837,3.71547315435546,2.10165287534595,2.93917471298927,2.90104640600353,3.44488194449498,0.938145190168135,2.44690561704952,1.39664044962961,1.26397964639045,1.98433167714785,0.159065656981835,0.889289358218419,1.11488287476822,4.38771197417549
"CFH",6.38539242533852,7.86731792952885,2.48656448897729,1.90828049792311,2.42113324165627,3.50989708151586,4.25187893186828,6.33935835335487,3.70207557644741,4.19805317234671,6.47656035537397,4.2128830343404,3.49998092643135,3.29076363905148,2.55443067578674,3.98288970765875,5.0770169192728,4.42220107107436,2.58041250008512,3.57163661870241,4.12726344560619,5.32055571551321,2.37698375914775,8.80449635214795,3.36873841051775,0.668140008197351,5.87605276611036
"CD99",8.1094352270977,6.35549150110582,6.19038668221092,8.51633876422774,7.31060500295941,7.45592955872823,6.40158099867735,6.72620192227991,8.25679601352119,6.71002090612688,8.51442327223348,9.14942742822905,6.78212399114069,6.73373218450583,8.09803405217911,7.23388050066105,7.94501281233807,6.24026525616406,7.13630040057973,7.17762182868802,5.6074259310514,5.93704623927957,8.21383560982703,6.45639749051993,7.645349133259,6.03528004644641,7.29204428052307
"HS3ST1",1.67719573216447,0.468420175478138,-1.45969266897407,-1.36802153421447,-0.777481349178209,1.89108221966832,0.777119284655769,0.173953327543321,2.30288092613913,1.35476276815106,1.01154978744148,0.397201627882942,-0.511096125072488,0.487343213371951,-1.14892151334699,-1.73813804180383,0.711121176178951,0.349639824991035,-2.69425729836049,0.276084247493688,1.10611384991112,-0.944213933040026,-0.0328133550230502,-0.516015391981489,0.663635713413921,-1.31648196418799,1.5921548019421
"CFLAR",5.77386354893213,5.02581068948727,4.33294616817356,4.59747374164102,4.52932761347217,4.15096333711809,4.4631603097867,5.11784055682009,4.98636773488791,5.16377393933272,5.40001843218729,4.99000113090047,4.30983254968284,4.53936655681268,2.99144376310702,5.35083234374017,5.44424097663091,4.66708649373989,2.62165736966786,5.11502226481179,5.50543758624296,4.9548253182118,4.00201741181241,4.93350417223539,5.00794956848176,4.49979532573307,5.93897698740053
"TFPI",4.10931066289095,5.04989897932235,0.831823794960991,0.322645886315253,1.53912537068978,2.21883157018693,4.08579428952822,2.91271115825569,2.94907021717061,2.34291922683029,5.23243419033607,6.56614485104435,1.59225903315976,3.2218822029913,1.5613456103132,2.34679449624298,4.12606438517234,3.18072460334845,1.45967096835403,2.18334446766415,2.3684760330645,5.2261397765868,2.079471201876,5.08151460238142,2.4149431321619,-0.0166800408676718,3.31091208958103
"CD38",1.36360606882398,0.654304190337398,1.38964187623768,-2.62645992045801,-1.82878277685936,-0.479821766594577,-0.504159639442696,1.39573601844475,-4.31632969540987,-0.55219742608334,2.65514557311679,2.19416898908809,1.91666175827892,-0.277767988444348,-2.09682863412421,4.24816636851974,4.08611277278083,1.14173651598836,1.13472869311274,2.14411358181789,-0.350987388208825,2.82264665334516,-0.428637596920359,0.123019792697301,0.605205340117189,0.764699455912505,4.38556260892198
"COPZ2",5.69104238335346,3.37930829587434,2.61360930886989,0.721386728394875,2.49109855752149,3.79765087660877,5.69913048256173,5.7175006592936,5.66250414600472,4.61176558391014,5.48670566531181,5.11199905894688,4.81091109632773,3.94104992817275,4.7406132850545,4.29097901965441,4.70131445557778,5.31742910893996,4.40129177937081,2.84856674734274,5.1815512076635,2.78239278130137,5.26198763350759,6.42432758859594,4.47623139119643,0.995130009503632,3.82511691597614
"PON1",-4.4268477301167,6.93729772941324,-4.87160281490061,-9.96578428466209,-6.30733438670132,-4.03937246900583,-2.39867030099165,0.0247839885938016,-3.6134115042199,-3.67645941711764,-5.6385050969579,-4.73738618179328,-4.43096227547741,-5.66814889262075,-3.81645673960261,-4.54582019027943,-4.03236908054082,-7.09385167013578,-9.96578428466209,-6.96341004150508,0.860940162313358,-3.75057080089782,-3.01809357605353,-1.05209607337967,-9.96578428466209,-5.69113275900715,-3.02891151906757
"ITGAL",3.31576787637951,2.51801320269922,2.27810598239861,-0.687572196978106,1.38652407118611,-0.058046264561211,1.35776269978906,3.14381848261347,0.404082567028092,0.870083805365487,3.78049736205644,2.70346205696223,2.4251716708273,1.98899068195592,2.23789376025397,5.22084045628407,3.81968018775393,2.62136818791636,2.88140453484242,3.61138145058859,1.32963201355671,3.26862111926244,2.00298180159362,1.84593002721748,2.89162791111517,2.56633108010045,6.10477554302421
