"","Pt1","Pt2","Pt4","Pt5","Pt6","Pt7","Pt8","Pt9","Pt10","Pt12","Pt13","Pt14","Pt15","Pt16","Pt19","Pt20","Pt22","Pt23","Pt25","Pt27","Pt28","Pt29","Pt31","Pt32","Pt35","Pt37","Pt38"
"ITGA3",7.55478297140847,5.52077302245036,5.23609477707021,6.723173549903,6.73353362220999,3.84081187670367,3.00428384942882,6.1595274397602,5.98157444485224,5.26465653157233,7.84431205939908,8.06678472054781,5.39742048473171,3.33511024307056,5.92703958433442,2.18015002911341,4.33257596071536,4.1777317394068,1.16277300283419,8.54300427769395,5.70137448912843,6.88708247337662,5.356260604264,3.19638646462735,3.7013512838515,6.73430112488037,2.19957108272059
"GDE1",5.34744716817081,4.45500869219975,4.42661291797924,5.69143868236031,4.99283536827784,4.59472419982773,4.82989796040116,5.46320384303511,4.33677524567206,5.03283455355542,5.40731366654208,5.36066735479545,4.49553822855567,4.20810379133947,2.1226566480276,3.98814362532677,4.73059270676645,4.43802646720045,3.59280244997951,5.07569644244238,4.50626865579417,4.92147094792006,4.66878887528905,4.73381142707922,5.44231291439579,4.42023319792284,4.64968868226079
"TMEM132A",3.40967020453984,0.714144266473128,6.02198120142804,4.97416505540092,3.11403687434363,2.94126794826434,1.33852090408372,0.931729839399424,5.00853069121192,3.70458742597029,4.74019541791614,5.04673349504359,3.57731470975553,5.11250811704352,0.0654626129837729,0.16094069034479,2.42351928906919,2.64041866637382,3.90064093042054,2.01618109244341,3.69124082953315,3.76563245097066,3.63309449937191,5.01531416400279,4.1730779495879,4.34009902509614,2.05795118306145
"TNFRSF12A",8.09460481883274,5.69060607411205,2.84269356269776,6.61078309912075,6.22012127927394,4.927488115055,6.45554296938154,4.56506830836147,7.16680031250293,8.15847506098086,7.53608069075969,8.63125480096524,5.86786019945376,5.06425492716615,4.63934539207661,2.33904480610103,4.85516837462645,6.13666494680347,2.22903745946827,6.43094921328795,5.70875974312965,5.26508395344776,7.53436865935077,4.93331931182492,5.52007433415808,5.28215310294122,4.25000267460266
"CCL26",0.680629380390364,-2.65507304582268,-3.55652366195319,-2.35375407090694,-5.58847662149797,-1.12857235486183,-0.653517567000196,-1.75028161086602,-0.0782312866253874,-1.04401643095998,2.56258469001772,2.684936137495,0.131754748354999,0.410339045343964,-1.91886089735725,-2.05376849488617,0.623132324309575,-1.39437140776577,-3.19973324532832,-1.55524537639834,-0.394099473950499,0.00280516609211368,1.85357514248061,-1.00835860631897,-2.5768956027544,-4.62596694543671,-0.00512082298653627
"USH1C",-9.96578428466209,-2.17994681263743,-3.9962287751605,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-7.03214575580163,-3.60491409389341,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.74318359800009,-9.96578428466209,-9.96578428466209,-7.18900048913125,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.26987673922566,-5.18057721634634,-9.96578428466209,-9.96578428466209,-9.96578428466209,-3.11181150237397
"SCIN",-1.61979268477264,1.78736462580878,0.19285016847781,-2.31548896246477,2.28586224037963,0.205308462523388,1.85262679820325,-0.749040458795994,-0.382068570440204,0.43312129438132,2.82413656422447,1.3504079212247,4.97162999474702,1.79271975354098,-1.88149319361391,5.81282790375543,3.40451611541121,2.32969077534463,5.59570797739293,2.39401862447065,-0.929628563852894,8.53478412658172,1.1885600837935,0.353581091510088,1.040416031395,5.8069305586409,-0.847148583583706
"ADIPOR2",5.65951541076625,5.14736864268135,4.62665973235854,6.68389040052593,4.94046179082066,6.03117897145883,4.79092933383023,4.83857158404052,4.76409494241064,5.40888501582978,4.89468186964778,5.4630394405652,4.46323106302106,4.53648718766447,3.07050332339078,5.3654035314879,4.37057567958403,4.06912207716988,5.04742616344943,5.80736748825009,4.66187211250813,5.06945776692734,3.64335426694707,3.95626469445938,5.86663202079464,4.31169086780361,4.50406436438446
"CEACAM21",1.93958108157745,0.684356990570235,0.233042177073486,-0.259112494453417,0.768403898691407,-2.61713653169204,-0.518704671896519,0.931619753786844,0.0490647576713245,-0.143325877956937,2.41832354312566,1.26048193102112,1.01854465450055,-0.518881550723208,-0.86535898019629,3.51510603950707,2.49293165626375,1.11050495134966,1.08567788474091,1.7336087940282,0.578159731343037,1.27254549122773,-3.27995163335099,1.03653344503728,1.48114094149273,0.178453036548437,4.62375497088562
"CD79B",2.92038245463681,0.903751445063434,2.19216548839712,0.932054054720743,-1.28558265986835,-0.508371876326664,3.73182508670671,2.59014560215183,-0.104891209507989,0.0125184379370778,2.83225870124191,0.558669465458345,2.61060239747097,0.555943823947216,1.35055478248666,4.7316890937233,4.34110569611734,2.97419253889332,4.31837640594044,1.27600075227259,1.61263860986943,3.86130324600337,2.83165669255934,1.2093895829145,0.827476979353526,0.569496914212742,8.43084126782948
"PAX6",-4.03728411679989,-9.96578428466209,-4.21491625533518,-4.61689357295832,-1.98840074297745,1.68058521390009,-5.76710444359717,2.4696938783799,0.329179497681263,-1.99800287544039,-1.55522215649248,1.6063931026115,-9.96578428466209,-0.0738024636035698,-5.85814895207812,-4.72001523347779,-3.36243818248846,-2.76846394654349,-1.79757577013202,-3.14456519977861,-1.38374696569829,-3.76119104972092,0.180587867006351,0.439731464986966,-3.27473285387274,-2.86759295716723,-0.086632759121471
"SELE",2.46597875263737,1.05893369593464,-3.46283054645778,-2.79943691626041,0.0512274593101241,-2.55820618221931,0.316441920043054,0.532425743985245,-4.56218005896713,0.336445579650809,1.82547751784736,0.957825615972967,-0.725407847149074,-2.39976711581972,-4.71475322462475,-2.33477957993208,2.28402859426615,0.272001482446645,-4.04658786775512,-1.61464452535748,3.42739562314121,0.0208273705142121,-1.96494226528995,1.28454175507095,-0.730475246018993,-7.09433205357261,4.07641613695932
"FMO3",3.31243245413394,6.24257624505254,-1.48554294792283,-0.639016788235849,0.633190941484243,-1.13269550523534,0.88339602891057,0.814033544057323,0.630251059892004,0.058119664774286,-0.724727763354036,0.287202568314728,-0.478612971630114,-0.407353268678809,0.693438245933536,1.50797960213942,1.84608614957598,0.872143142259504,-1.38479960256779,0.879152557863516,0.799345182843161,4.82311076993764,0.394755869866923,1.0089638980715,-0.391202802759866,0.00921884942296677,1.04508830898789
"ADAM22",0.699699765063693,-0.0321236292331384,-0.436212282560275,-0.440931906085285,-1.1446692303546,1.42826303267126,-0.0567601077800338,-0.729531415353745,-0.387243630883978,2.49862050755419,0.997088054041385,-2.22140169247282,-3.10236746231257,-1.37313273241355,-2.0225598787035,-1.49279603898546,-0.275370786751104,-0.857349256255984,-2.78968647010354,1.59543877493459,-3.60955004018153,-1.30545222374449,-1.25093703478153,0.565047555345713,-3.14813243138247,0.781120703648482,0.494315328676885
"CELSR3",0.891123416056808,-1.39262687393689,-0.0864446176287177,0.183020418533965,-0.784097735984605,0.0519925715166973,-1.20918074146599,-0.906141460229469,0.0585682535530732,-0.0627717440784261,-0.00415954627254926,1.60425120500889,0.289148151186877,0.443796477332726,-1.66941449705108,-0.261607989604194,-1.67390944267693,0.0848922916996104,-3.16293089919387,-0.0382913493820716,0.0853642281539371,3.61033769818245,0.584620197849199,0.142325875192426,-1.35040169070056,1.88717814110236,-0.986851451665348
"MGST1",3.2200746469483,8.08727232934128,3.15922471613442,-1.52451717576312,6.66182115470216,0.531967458649672,3.21614880743226,4.69647627906014,4.55940109125469,0.25718852782612,4.01806695297044,3.99552882161028,0.37719322767472,7.74607205481253,0.943671196063664,0.387822782622049,5.02961881675055,2.67583715024025,2.57800733914253,3.86053510645379,4.14095118710846,5.64042734784371,4.87305108287681,4.50299755849259,0.531337101533869,-0.509167329392787,5.84149826045976
"PGLYRP1",-2.62297243127662,-1.06278023467797,-0.570972582891696,-3.77742047554156,-0.764351919563352,-4.55673772807506,-3.07807190475375,-4.33330806281368,-2.27466818741603,-2.40092252502006,-3.91888690995107,-2.38503170711201,-3.95242362731116,1.27962632714131,-2.27834800232903,-1.90199584669779,-1.67021034405907,-1.4240529822613,-9.96578428466209,-1.20668290957771,-9.96578428466209,-4.71945288526299,-2.20024854228727,-2.18844373197659,-3.41381279217644,-2.34678900913456,-4.51511086132868
"ST3GAL1",2.74711211066775,5.02946250620709,3.28621903508884,2.58387264303063,2.74110327005157,1.87819526479943,4.59665037630407,4.0907005792464,4.26375891436955,3.35964616013944,4.37678138265803,5.5673180195919,2.5782933665721,5.72888726232987,2.23976417438773,4.16281430177872,4.10093534393933,3.04927615555328,2.70128643126719,5.34164528251846,1.75428504277583,4.61320753910256,4.95183394556436,4.49359134446687,3.86434716565194,3.89820249239557,4.58757302176148
"IL32",6.84085066565646,8.03130030215611,4.67868179149085,1.85515684010925,2.40104621963966,3.04774305608567,5.70320432209194,5.72511547532513,4.10359284127282,3.27446024635401,6.80841473834564,5.93206559668164,5.15774017710587,4.1384878950379,6.13746127560371,8.00943530444886,6.41315062054432,5.94428114116494,6.74039200352076,5.86640775466145,5.85914549689795,5.98928771669572,6.43561735226625,5.13716941310836,5.87972700687201,5.75733441455397,8.06870454174216
"TRAF3IP3",4.26314168829478,2.1078119550526,1.7400267616789,2.99903573516179,0.720597413132836,0.695626736605397,1.35353118731516,2.85130518822395,-0.147853827953888,-0.0684651714291414,3.73648819729166,1.43382893400507,2.43223460825596,0.766812530557004,0.653650601337705,5.10795105444019,3.74436809253247,2.52469150401205,1.78581489318896,2.81815978089027,2.40178713654425,3.26053480512527,0.666481065760321,1.50074794566581,1.82638385456633,1.00750183997883,6.28679867424497
"STAB1",6.15257932572782,3.29240818178311,2.34187818426167,1.7929891634882,4.52595590881051,3.64933640868374,4.55335566328977,5.69847221405868,3.77439043458458,4.00122261744935,6.23383009295796,4.87653711345347,5.64733383814198,3.17558898235501,3.81263107476853,4.91929059191455,4.85073894628728,5.26551104560795,5.48728952789133,4.32082807692175,4.17003410990448,5.38170272278983,3.82409356416422,6.49751519652041,4.10489658318722,2.97024979103777,4.07363835327681
"CD4",5.37933022624837,4.80174339705041,3.91536430459109,5.71503457256205,4.04527072437252,4.29832798286634,3.48310801204254,4.15714276767527,2.94029730638372,3.54407500893837,5.86148041890272,4.83430792630752,3.75266472732436,3.4013629157342,3.60678871817345,5.09071821837719,5.60587979508149,4.46933240090672,4.27116123938389,5.52824227666855,2.87892497468017,5.37307220806582,3.32980767481206,3.65476223191758,3.91372997947712,2.8646981254507,5.93053678192391
"BTK",2.76596619429399,1.85583842908097,2.14936791675689,4.17229282529952,1.66901454060046,0.430610620645997,1.45022277965249,1.87905412963878,0.66040040260572,0.755445469570233,2.91116193135037,2.14059708133783,2.35052468355517,1.46036242201736,-0.495154159458956,3.18744811169298,3.27937260911984,3.07008624364039,2.006710044538,2.49998838676687,0.460548047055994,3.09712888314089,1.73576406812583,1.5322159318745,2.12878618216981,3.18616684115215,5.99138961352424
"FYN",6.4508986160154,5.70392954708178,5.35900440783837,6.3084436819846,5.90534734836153,5.73893563797567,4.2315666099241,5.57490307424621,6.67759484880035,5.61774052111901,6.74310685099631,6.36616516678456,4.30274732702665,6.70590471014597,4.38123932256739,5.60668392040183,5.57465730253474,5.06706887915339,4.55652539161867,6.17293843797205,3.56857186495327,5.399602614137,6.07783216365177,5.26313375578274,6.36948023430777,5.25163310065024,6.20877942649193
"ANOS1",-0.960445550935807,0.434505571232444,-3.00620643724394,-3.09333110433006,0.244946928001029,4.52597703153543,0.206986192691223,-1.42636144988796,-1.57895654630985,-0.0925397020076409,1.01453302787308,1.09318508343792,-0.963316504031467,-1.1310446285268,-3.34418954794962,0.314734330690397,0.649659875160134,1.5591061327213,-1.05602931003855,0.836052943791862,0.889782473622432,0.0517167653274432,-0.616701048784003,3.4451455453359,-0.646506510892064,-2.51945625489881,-0.132656954954217
"PLAUR",4.97167857975273,2.89494261046272,2.15951460535358,3.16311572729055,6.17191237946558,6.24773140955746,5.01020076789458,4.31089771767774,5.81646481571265,7.55067582903504,8.05440164591854,8.74298058162221,2.62781068834465,6.27256709835301,3.42988930547044,3.16179733534938,5.1587775097328,5.25973735659109,2.57451066300741,4.25207220617797,3.88198881304449,3.30718771861746,6.12513784030984,6.81397936228016,3.30400761959538,2.4868179467741,3.63300975603757
"DCN",10.471533468079,6.00038989407068,3.13325457756708,5.66852163246416,6.38743702614439,5.05999310145903,7.09008154337866,8.77182324574119,8.1785192263058,8.22056489370607,7.06526965657074,7.96532354711935,5.7270256570777,5.49906723202085,5.7673134351598,5.77295377091162,9.51908861024515,6.88867329850155,5.1422329444,7.01317350700498,7.03161473307367,7.80452945073446,4.96535012664638,9.15083754960249,5.59372823448083,2.61633456666498,4.01559559392217
"BRCA1",2.3539028403338,1.40088287446928,3.42389842401829,2.57790528885184,3.39231260404439,2.43948567144604,1.42825847077904,2.48839631157245,3.76315110480723,3.24038824306963,2.260444826803,3.94064592327434,2.62229996733944,2.68059797096988,1.37890807169045,1.58138141223643,2.49736136554953,3.06120898896153,1.75218610126602,3.19987748773202,1.54986085725169,3.02476354224874,2.87721614655866,3.00930658019689,4.62813303172055,3.75001358709217,2.92756529274431
"ELOVL5",6.10044615735344,4.70210928540556,6.00196115620218,6.93691170212728,4.81417107045939,5.5287741221556,5.46220844779017,5.36514030438581,5.82957819785482,5.40462350100465,5.9088313988807,6.76272489706155,4.99388468333272,4.98436173395394,4.02168979633811,5.434006677086,5.55497846961059,5.0950717062656,4.82186143166767,5.75466990512732,3.60868857645937,6.69075155867036,4.67977730628484,4.48415300618315,6.44938179331515,4.37988690147702,5.74328489396433
"ALOX5",3.82030592377231,2.80929045363022,1.22837295163932,0.0303918921661439,2.33005971280175,1.40820515424176,1.79128973973473,2.71614674028437,2.92659805919912,1.94963021305161,4.85575498235155,3.27540687934944,2.02229436398686,2.96925862770333,1.14170179930564,3.58022136109757,3.82149599415533,3.92977876799435,-0.0173803985290107,3.94421850996478,2.48791757144933,2.92080401212537,1.0336452350024,2.03628835195289,1.29796025088791,-0.337646360062011,5.86500718009906
"KDM5D",-3.7855113009454,3.5314362309821,-0.658717707524198,3.4032779828861,0.537158461195051,-4.48835018777483,-0.0484457171034086,1.46705809497404,4.02041945598189,0.622985209125014,-3.22742389031857,-2.83344394043215,3.16008133299256,3.14767078978852,2.78305295606116,-4.48763017375911,3.41604644270172,1.83790081546773,-0.50307450703704,3.30858465049233,2.67189045822365,2.32646766043234,2.08353875553001,-0.476054952123614,-2.53700092301044,-2.9787148318696,-2.17697427309513
"NUB1",6.12847513914181,5.21011921037667,5.56206659498578,5.58287123550422,5.89380142189735,4.500757416058,5.24836990441674,6.13356489045523,5.42670029818027,5.96839436078097,6.60540122015438,5.54810651803599,5.15015463017765,4.45594623675802,3.48344519871856,5.65628835961543,5.70238803064182,5.06617847411505,4.05330241102608,5.78194933907434,4.27501622769061,5.80643082957508,4.95902128360011,5.19553042388498,5.06218674832592,4.62146283523765,6.03579609928102
"GPRC5A",-1.08319094476905,-6.31455193311941,0.430375020752924,-2.71138630949094,3.08311242188553,1.88121648196152,3.2704226060404,1.04317808578069,2.09947753126514,1.2093064115582,-1.40423320646297,3.92758912725539,3.64518219949844,1.9502933251103,2.70506969208481,-1.98844076530267,1.26612120138892,1.48185778706012,-1.54298561312346,3.14196042431056,2.12050548247498,3.06114728036748,2.65382339776959,0.556219844658741,3.2463812966234,-0.952724861073387,-1.11892725472109
"CD6",2.3388413938437,1.44152249220214,0.586293703050813,-1.43319222570098,-0.689932903465708,-0.801302309261507,0.216375204172652,1.85219807600309,-0.619255936148177,-0.979887758348985,2.10068812439442,0.496125667187317,0.882622186065247,1.13471135880936,1.21158572619389,3.82987588313598,2.41045447741655,1.41811767118229,1.22083386747951,1.9572670277922,1.5314856698239,2.2918126838425,1.89808081994377,2.54313758875975,1.47600490770334,1.72971502609447,4.59703043352164
"TACC3",4.11857067685755,2.23247729054822,3.47383252383838,4.9352110251065,4.23870602512944,4.82083799487054,4.01376252953617,4.20907075500289,4.0568543262566,3.56642424655722,3.91325839904811,5.61097182891686,3.90255410899367,3.62018964463053,3.24162936507167,3.80019440046885,3.84471653239283,4.92644376167551,5.11058827149505,4.69165299482642,3.96703604952094,4.43032216585755,4.98874429074051,5.18998750619155,6.08467926514762,4.15597045941217,5.86926537248366
"WAS",3.4886852900493,2.85467720096508,2.92955446598279,-0.105340862279709,2.84484752621449,1.33743889956686,2.00216472470691,2.96070983849988,2.52635215762605,1.22270463784785,4.93788964442697,2.90774021160449,2.60743859227327,3.2758868097492,3.07916873380888,4.34663175235673,4.84137193234598,3.39438223628209,3.48448819249944,3.90603737624331,1.73498439943358,3.25041606319812,2.83361709339708,2.58057757866773,2.59978221664795,2.36710004560087,6.34310095440752
"ISL1",0.665831329217086,-2.55112465775743,-9.96578428466209,-0.800076314135847,-3.30611646063749,-9.96578428466209,-6.08245137600839,-9.96578428466209,-0.633022016865871,-9.96578428466209,-9.96578428466209,-9.96578428466209,-6.88529257703191,-3.2386527835436,-9.96578428466209,-0.905501363647868,-6.34945442719524,-9.96578428466209,-2.11322954449433,1.60219407423057,-4.06487858805907,-1.40056808480012,-0.954096634803908,2.31466570284776,-6.40149407757688,0.416102434007612,-4.03715813851053
"SLC11A1",0.905276344239482,0.372576109660653,1.04305360025273,1.0373703697051,3.52278904320729,1.52450360355392,2.33773566324522,0.725205740140168,4.41068523613821,1.32057334146015,4.58529594175824,2.1244637872089,-0.442531013886838,5.13199513034215,0.47676600725419,-0.318417880820287,2.57706034929847,3.88651735273446,-0.886531897832262,2.86756533509301,0.308435531407686,-0.063630309831364,3.31410436034574,2.02629928653289,0.0534289316204898,-0.416727528888199,-0.103679971486819
"WWTR1",5.60940823625507,2.10071102889098,5.20527694608484,5.63150112905463,3.93343719222542,5.54210037295055,2.64012522993877,5.73781255046413,7.60894072370948,6.03320470238152,7.09591273169543,5.82592701248263,4.30382470568153,5.35735590278081,3.11614227659327,1.7544930451804,4.54563052858174,4.08411890779555,2.37106856761063,3.00375478304236,4.21189115256824,4.40431245973739,4.50738466452895,5.92341207332681,5.6825199397151,3.30974699561289,4.98751117646817
"MARCO",4.0022606189535,4.56384095683195,-1.33656078051357,-1.44154018562232,-2.16759878973493,0.732873342516691,4.24845307047851,2.44208745272628,4.1454865375822,1.94525960658756,4.83736457398371,4.83827227562855,0.98590101402055,4.93241677597542,1.61112393096296,3.75275255957849,2.44448069797274,3.33288577464191,3.0394751096031,3.60883696764124,3.31333616804069,2.26908983785388,2.5808413330666,-1.83006912454203,1.02585453771537,1.52598941163468,3.18125242362813
"SNAI2",4.47019670342276,2.49992495178397,4.06386700080357,6.25674012800737,3.91803714665614,0.834210386346758,2.653762003608,3.08272507782702,5.41662750218904,4.55881268941935,3.25180188424093,3.89731510131101,4.79846824297378,4.92499404765033,3.64810037748592,5.69682713726921,4.85266355030282,5.45263405891269,6.87536594312778,4.29024808489799,4.4217211953257,3.99807810810217,4.08283565418961,5.64637121518595,5.34669086044965,2.75200751568315,1.11313421376581
"CD74",10.9816669962222,10.9488843194402,9.01911955851294,8.55223426007263,9.97731817685355,8.01688387839116,9.01420777487695,10.0403180223022,8.32578044801243,8.16765306267322,11.9904062641218,9.5617825413325,9.45698986271076,9.00474112762604,10.1973619184401,11.7683617076842,11.0319128032749,10.2288761675654,10.3665146352825,12.1502707777805,8.18035009068629,10.4455940058832,9.76445131221925,9.45347332684146,10.1195446332984,9.35281248435606,13.0670916011038
"HGF",1.08343133666288,2.20292450516275,1.23923479883481,-0.944810523823744,1.74015820567608,-1.5483348651167,1.70382395847785,1.62400574781263,6.20454479779162,1.99944100285813,4.13888390338096,1.67521163206244,0.618365629611229,0.668064479782047,-0.619977079886581,0.571653820936883,2.36090682667321,0.81334160807882,-1.42818736037359,0.184410152254738,-1.21977983396179,3.22672932065407,-0.584039114942745,2.98019413209422,0.00489427211496344,-1.75068277866275,-0.903247324590561
"RUNX3",4.01512732633338,1.00634999646797,1.37107174037692,5.33306559900136,6.04617879675039,5.34728201631017,0.436610769525563,2.70793147012752,3.82343019663639,4.74280073528687,4.50580603377285,1.53208573199011,4.07029522431636,5.07899638492329,4.87432293264827,2.64261355772658,3.25927596174087,3.4047895921035,1.05692747540423,2.60781322424742,1.19623907076807,1.47111736343889,6.03396611713429,2.62391238231739,4.53605221133538,1.68852378486693,5.72154133511568
"FHL1",5.65647392952795,2.57550377723336,2.16761860913765,5.59349691117362,1.17800195092052,4.74331740137605,4.39669110855017,4.54755678423705,5.76292305005332,2.65304096511016,3.16947080026737,6.14861569343232,2.43417371572906,3.12039008597606,3.86104681012106,1.96287124214043,5.48593250117554,3.79622237292474,3.67738042574349,3.25492234646035,1.93752456004635,4.38207988628733,3.28062683848267,3.91834073225621,0.897649311017373,0.0499198281776339,3.10525201578944
"BIRC3",4.3121787939244,3.13633533628184,-0.0674201756882881,-3.85373805425205,-0.400955243130275,0.907003484390837,3.67406151614544,3.16218714685888,0.941462702048953,1.93295128396405,4.73315550360013,7.96398084510273,1.92175320042976,1.67152437563022,-0.588590254908209,4.05493912396709,3.2079092131999,2.47985871127601,0.385176978676195,2.78404632738384,2.80675081372015,3.07942194201052,0.874928594701309,1.77419431567639,1.64223640203094,2.75682661393519,6.86988831447733
"PLEKHO1",5.29721567349367,4.10158969964658,5.46540635580577,5.43227474352405,4.16770498704787,5.76415072877154,4.62423593238648,4.86749248543877,4.6216865662123,5.39913350035234,6.0692393603265,5.39765524972088,5.60815418417411,4.86618060292939,4.42995230816473,5.86167594850594,5.26683588998292,5.56942872223876,5.85603495147827,4.69110945515226,3.64232341521404,4.90276676161416,5.58338771642713,6.90091339151683,5.12847755278867,2.99041198346096,7.08535154317403
"GCLM",2.99656787993479,1.95215258306914,0.660771364984992,2.42493588649865,1.41592476335889,2.11903961908467,2.85586988919513,1.80398652113756,1.70278713265043,1.09833168804349,2.05778707965529,4.42075547360194,2.36553366394425,2.0009931529723,0.797199183976628,1.79371244420839,1.52248493267422,2.63059613491539,0.406817999913468,2.45443230214572,1.71763423917567,2.10232849237195,2.13897813587727,1.78110923399886,4.09481688228259,1.49432757787995,1.97403951163501
"DEPDC1",2.11592439880265,-2.79172153114667,0.409130506679102,1.62548428917677,0.812691517547287,2.15261414101504,1.34438011803909,2.57308696475763,2.87983139197804,2.88070258939975,1.40680504335464,4.44394555848445,2.75945989371229,1.64016420956783,-0.454909414094484,-0.331220205689231,1.58141020328208,2.25526279007226,0.318321444711957,2.36877970889735,0.57124613244543,2.0111210316689,-0.592554114061916,1.96482761300274,3.51123588638218,-0.503529104286224,1.06036990285779
"RRAGD",4.93502150461394,4.80312712775027,3.87564739847548,4.61457938688993,4.87808384828677,5.07018359569803,4.40560243169332,3.86735422996083,3.67725418623666,3.22595916439994,2.31166191398878,1.94746857911002,4.56719239662572,5.22572694766139,3.71258603705099,4.00876381232805,2.90845416973806,5.17362429998072,2.73648281546985,4.95651332138529,3.00003942074377,4.45640135950852,5.51066461721626,0.306639235812232,4.64956514181675,4.48895921296369,3.27473613422917
