"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","Teff_McDermott","ICB_small_Hugo",-0.883,0.841,27,0.294135473973199,"Melanoma","PD-1/PD-L1",0.588270947946399
"R vs NR","CYT_Rooney","ICB_small_Hugo",0.05,0.708,27,0.943873115976476,"Melanoma","PD-1/PD-L1",0.943873115976476
