"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"OS","STAT1","ICB_small_Hugo",0.149701973965613,0.27532248893928,26,0.586625092528801,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","CXCL9","ICB_small_Hugo",0.159728644219399,0.309049061286465,26,0.605268470474713,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","CXCL13","ICB_small_Hugo",0.17441269193827,0.334016876813289,26,0.601553848977174,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","CTLA4","ICB_small_Hugo",0.140758173724784,0.300512234496368,26,0.639502748142651,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","CXCL10","ICB_small_Hugo",0.141862199804685,0.307410326323952,26,0.644457808200617,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","CXCL11","ICB_small_Hugo",0.210344275384722,0.310225140544449,26,0.497747923624282,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","TIGIT","ICB_small_Hugo",0.139978723334315,0.307654476125896,26,0.649118740560214,"Melanoma","PD-1/PD-L1",0.834581237863133
"OS","CD8A","ICB_small_Hugo",0.0822617524710108,0.304518168205227,26,0.787054534452946,"Melanoma","PD-1/PD-L1",0.885436351259564
"OS","CD83","ICB_small_Hugo",-0.0260151933170797,0.319013252446033,26,0.935005404127019,"Melanoma","PD-1/PD-L1",0.935005404127019
