"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"PFS","CYT_Rooney","ICB_small_Nathanson",NA,NA,NA,NA,NA,NA,NA
"PFS","Teff_McDermott","ICB_small_Nathanson",NA,NA,NA,NA,NA,NA,NA
