"","P6494","P1867","P5038","P5118","P4631","P6126","P2051","P346","P2056","P4949","P5784","P7357","P1509","P9449","P167","P9521","P1494","P7623","P9705","P4810","P3549","P6336","P9699","P8727"
"FGR",-0.474917366926427,1.72727136800722,0.523993445519254,1.18906546209226,-0.83547628793239,0.715331114986183,2.63832874872253,-0.368925526653174,3.56431719115467,0.49373954875082,5.28309576331658,3.27470148571829,4.44530294213651,0.276163124828004,3.31579371652247,-0.487303839772898,1.27680035894553,2.94972727953298,1.29168606274072,0.504203412349425,1.52564295340946,2.53357580666712,3.05375605967995,4.62297719090787
"CFH",1.50842358153862,5.86489679101884,2.84455638792653,6.13893116720421,1.60077879419931,4.93339323439879,4.18412157336296,0.974712849796118,3.38392543117192,0.900691017858795,4.81328353590455,2.54393876983403,3.83940537331974,1.83829832312366,4.35426172580722,2.67170777636908,2.7655262598966,4.49443481206706,2.46170142107124,4.07048378697432,3.43039233357231,3.12769105239797,3.36591645385806,3.58198989306936
"CD99",4.08041889972863,7.58713992735874,9.41273072532295,7.23028948945757,6.98214937966436,7.2889583298917,7.67966306385948,7.65464318828708,7.57184363848135,3.82977853935341,7.85425128884382,7.3214501229866,7.24552418481974,6.29700794927485,7.15146310886774,7.61550457958786,8.27700371584301,6.88597695481388,7.25089527168616,8.13982758670418,8.66416280646351,6.23078134373514,7.8616824764836,7.25153921783809
"HS3ST1",-1.14085735694387,-0.522179705073072,-1.1545091461647,-0.990374779188249,0.83313297392296,-1.29976982078558,-0.908352966929439,-0.715298731260618,-0.930253845244633,0.380009029200678,0.883816290175394,-1.89531445148115,-2.35330645501001,0.0875443087877043,1.94401506587589,0.68715925419917,-0.257284907819512,0.338350245657962,0.00585985208998454,-1.23094259276668,1.00792025564353,-0.911478439425559,-0.239704099221676,0.617430143916198
"CFLAR",3.76102990650709,4.62113171648306,3.37291032042352,4.78014734042229,3.15999723921539,4.35925408407553,4.08902350203045,3.63476749645646,5.26790653653779,3.47081015085216,5.24314731955583,4.60007346320882,5.30834631186256,3.12874540983785,5.60062360339493,3.35069525046237,3.92940281888199,5.01751219567806,3.37339764919421,4.03068037698197,4.44562077471519,4.08512718021332,5.10893420761054,5.63981097771678
"TFPI",0.588065764060165,3.87011808396593,6.45745475630112,3.44604444259604,0.953637739672965,3.01479089254329,2.87417530282744,1.28910850959452,2.8976354181935,-0.598861072681736,4.22461143379368,-0.148645524050897,1.27613334064811,1.48449908212252,4.85283783398905,1.23862179605108,1.1184726916624,4.39521364377443,2.3841078450834,2.4324757562108,2.34583632745106,3.24866841282882,2.62037996126882,3.61668704183111
"CD38",-1.66144665411995,1.23489367044742,0.871457301389479,3.778587076462,-2.55966433377933,-0.316057466484575,2.11775155265907,-1.90429427877262,5.34462258586571,-0.502936461017321,2.65988346840151,3.46306002048563,5.47436140797504,1.07884889787317,2.89577374721537,0.820370968517498,-0.850405042046994,3.82236305515708,-0.253496320246276,-1.47085271823338,1.24548957805365,3.10472412237813,4.61639886921287,4.0309539916356
"COPZ2",1.02689210566144,5.3173945234315,4.39656368305229,5.08463833637827,2.57392464294465,5.03387666329884,4.7730785298123,1.97169620715032,4.31655850260572,2.30237462252076,5.26238805391335,4.84933879018837,4.68256206136114,1.24517313483815,2.97706373204539,1.41014569250359,3.37291032042352,4.0934249594191,3.56928449179161,5.4501092965861,4.20090448857462,6.32304935444846,3.77283579666,3.10708187709039
"PON1",-4.20641802878508,-3.42014790948285,-9.96578428466209,-2.84073250195841,-6.43001746438713,-4.93918781014795,-6.77719029619495,-9.96578428466209,-5.27221927041231,-5.29141968037668,-9.96578428466209,-9.96578428466209,-5.38422213258234,-9.96578428466209,-5.85710093109386,-4.91634083551899,-3.81139145366609,-3.41668657622576,-9.96578428466209,-6.76937238267477,-5.33072645493687,-2.56664737833361,-9.96578428466209,-6.75817562821562
"ITGAL",-0.803690086003092,2.18552723427127,0.29614607469835,3.95989995483864,-1.24626198209784,1.97825787660196,2.40247934275888,-1.04524980105722,4.49022353395738,0.479613435192401,5.02262969389664,3.63227985009003,5.65799149069623,0.628633634164697,2.86183827685253,1.46906804365642,-0.74598653782887,2.38799936997608,-0.709528411459355,-1.42232320079669,2.02292525146617,3.50161748054298,4.58752701497481,6.22989742299079
"ITGA3",3.42040155394528,4.13004126304495,8.22950621128593,7.71020719485806,4.42024658230147,4.82385633584722,7.0666274090952,6.30963459823518,3.28800264367288,2.12560481831011,3.31320376047316,6.37156931688598,6.42245504020166,4.47391026910265,5.25237402592519,8.03309808324408,4.23791547765687,4.09311222215248,2.2456721098792,7.50033201731169,3.70963251834795,4.28566853797956,2.97208604322556,2.66835743568126
"GDE1",6.51041605967669,4.48566510979705,4.89429393355018,4.96088697701478,4.55634970633931,5.46517129305766,5.4853785218401,3.29122043862865,4.87954404208104,4.83645942895427,4.28285490932256,4.9986964773306,5.19154291141509,4.66827800305682,5.25615017738666,5.13006598175308,5.05390633783468,5.02643712721429,4.98674312646173,5.1524105972369,4.90679441273299,5.68096003791374,4.84802696238855,3.80102410867545
"TMEM132A",3.61541629726287,1.99423213222325,4.03268274213599,3.80217253299368,3.24032348927314,2.16420380597635,3.66592708780776,4.85503289720208,3.22433205695572,5.85841871204146,2.61413736337081,5.11589886665539,2.4507467366197,1.86002916248689,4.5979005903379,2.5677084960677,3.63558028241649,4.64793037316651,5.17213143824547,4.65720553082604,2.89841540454407,4.46754034205384,2.97316673574612,0.80395440126149
"TNFRSF12A",4.99161254310943,4.53167464874218,6.93173032676512,5.32782745973077,4.32362226642943,5.05924710604677,4.6905456025353,4.54038690596375,4.01509609092206,4.11091442263868,3.24429951303717,5.8525532290195,5.65908826058504,2.53661743076477,5.71887394536653,5.49186912618552,4.84406923781523,5.82441910030079,3.79982297585738,7.05678942717785,3.43024512320647,6.17744943809475,4.15047031769628,1.25064026533091
"CCL26",-4.0125469870742,0.247854617536765,2.63001398948484,-0.594541263958794,-3.23934811941111,-2.78255584275434,-0.746918374592412,-2.14843603512768,-3.01939261935563,-4.16454024921472,1.01254006960035,-1.73250495152556,-1.31299666216809,-2.51785801029827,-2.64055979368595,-5.35983962337138,-2.65033579616254,1.41879443062458,-2.5433662486738,-3.17639410124654,-0.614266373724797,-0.0245370924069269,-1.72301031169954,-1.01182359492281
"USH1C",-9.96578428466209,-3.40376935092734,-9.96578428466209,-9.96578428466209,-4.97284368322615,-9.96578428466209,-4.05807158715705,-5.20651124996925,-9.96578428466209,1.21674042686258,-3.30184198730324,-9.96578428466209,-9.96578428466209,-9.96578428466209,5.02664958636986,-4.90497164528743,-3.54155583739672,-3.44854009168812,-6.83083396598382,-6.52263385153919,-5.30229733855185,-2.04857931087571,-9.96578428466209,-2.43448080976924
"SCIN",3.32164818489728,3.99325770415192,-0.520117578997834,-1.17692894730308,4.39394468911152,2.22533354973461,-0.198073215000844,-1.90625594940246,5.45640205919694,0.498608305202375,-0.09905863256875,1.32708947024424,1.15449895973514,1.66321708267568,3.6231411188899,-0.166855688954191,-0.452613348758412,2.03747710990839,5.93533951820891,-1.93200891210478,-0.413044110714247,2.27781220850369,1.86952401233492,-1.84178190958463
