"","P6494","P1867","P5038","P5118","P4631","P6126","P2051","P346","P2056","P4949","P5784","P7357","P1509","P9449","P167","P9521","P1494","P7623","P9705","P4810","P3549","P6336","P9699","P8727"
"ADIPOR2",5.70551627597442,5.28025483322916,4.62114344123084,4.0153459128807,6.25077592068239,4.55232788188124,5.61339315226078,4.98484451074783,4.60016863759875,3.6397878295962,3.67638025546692,5.35374672071372,4.42584194955517,4.79068343031552,4.57387133686805,5.0583035060812,4.82360161914136,5.03135108188285,4.93664736065371,4.99866037690012,4.80737037942166,4.37282676181735,5.54658274236586,3.88818797839324
"CEACAM21",-2.39925069671477,0.00107584925860492,-0.896490274943799,0.96078598885755,-3.87321740178689,-0.0522066896853581,-1.29666536881558,0.290754664189721,1.74200189787063,-2.82999292757425,2.75708727001468,1.96889069591231,3.83901225604195,-2.0425756667589,-0.215614955323286,-0.633479144694679,-2.36546992344559,1.29605794947821,-1.69420920712534,-0.821870521786674,0.97579157715615,1.17002117790586,1.93038537164582,3.61526326176777
"CD79B",-1.17890372416095,3.1860916515901,0.346996589531558,4.80870938888345,-3.46638323069912,2.06485526632991,3.11691697427862,1.15986810836629,5.13552666141375,-1.47178477320658,6.94091844779871,1.61165398506424,1.65745251126048,1.39857474780066,2.9239820322204,-1.13616301741078,1.9108209091665,1.80149393506081,0.0860092304210318,0.155477244780087,3.2077616915848,2.369929858433,4.66120232976271,7.99106827536037
"PAX6",-2.27507387468189,-0.76180501129622,2.73520587614519,0.392570215760902,-1.02140017939902,-2.09982836423313,-1.56432447245492,-2.82312578916962,-2.81955675403485,0.727336725512745,-2.49865155957935,-0.990469367011491,-3.0245840513146,-2.32440444095672,0.755331997486972,-2.94270639654073,-1.42527648649207,-1.53617250461677,-2.64240520779277,-3.71412956571197,-4.04680659017257,-1.18509361212787,-3.4436531877974,-1.35463035163456
"SELE",-2.95783757520087,2.29711216155862,-1.15416554986155,-0.966897730902458,-4.67187311187899,2.483325661293,1.43469494031579,-0.404158381702234,-1.35609579813323,-4.73460151231683,0.183619900019465,-3.67201837903759,-1.13880051233796,0.395304142758626,1.01308344679776,-1.905845020679,-0.306255694235299,3.10807108658575,-4.0589946812412,-2.31341969258629,-2.98619332111826,-4.43882032805265,-0.786494691540367,0.00743951873361952
"FMO3",-3.70343569765873,0.279388089411628,-2.24706648149665,1.52703529391678,-1.94704997629326,1.47824186255384,-0.334428949792273,-1.89996427883816,2.28512401084165,-2.12983495336268,0.839540419662618,-1.34159563753001,-0.523321767327862,-3.32950334195978,0.414481954738914,-1.99934804917131,-1.14296492688493,1.96006311494595,-0.538875912823843,-2.76243628168232,-0.429671143833859,-1.42387069623578,0.32601954169512,1.62780758754954
"ADAM22",-0.851412053689454,-0.843422167950645,-0.438821501393111,0.274625457855143,0.636793964152998,-1.71576069198582,-0.434658242768437,-0.138554332602608,-2.39930397215223,2.05667022618442,-0.939252542865861,-2.62072506010753,-2.76991506369385,-1.35427989864942,-0.465976258857142,1.06474492003536,1.23466072557214,1.01411958591954,0.0573046956100214,-2.60794201085456,-2.44194792901491,2.05938296823438,-1.32375064810544,-0.552835555239403
"CELSR3",1.26200010371861,-0.450804002416047,1.58725456412826,-0.182435679319595,2.54746957167109,-1.2491122720712,-2.21936401888552,0.0426163236405747,-1.38922057764891,2.98585377445255,-1.71387114179781,-0.392748762902628,-1.49356866884473,-0.292268493574104,-1.01928441923798,2.1147134967036,-2.08229787204072,0.328089653313086,-1.37765434008075,-1.93324258739205,-0.0242362981596984,-0.360608523847753,0.599374929004104,0.324096278163434
"MGST1",-1.67210573025718,4.09839429084149,1.88822695171778,1.91871061352804,-1.0478095918687,3.45287213995083,5.32369431472354,6.45377106565823,5.12335994712887,4.08122030700164,4.21857195408612,-0.30800853303882,0.929927308920458,2.80863629044168,4.86190575204559,-3.87338231239023,4.90962431554373,8.51838170284929,4.45027429255382,0.703508283129352,4.53896643894415,6.96784874615874,-0.101005394624017,4.36453741500096
"PGLYRP1",-9.96578428466209,-3.81884196938351,-4.68402669614179,-4.87974362309684,-5.3913981419034,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.64696493784194,-9.96578428466209,-4.43289385270284,-1.7979848159313,-9.96578428466209,-3.84987501703371,-1.90319302188248,-9.96578428466209,-3.79461149102639,-9.96578428466209,-3.71699520806956,-4.89193835038127,-2.79672115014675
"ST3GAL1",3.01397492842965,4.5627675001856,3.73217149675476,2.9881065841612,4.6305510849993,3.46381860401055,3.66498337325673,3.52469058016325,4.15408088072668,1.60870990615453,3.76390018076287,3.0597896129678,5.09131478202722,1.3182937001763,2.94962083851355,2.88186427293238,4.75667640312536,5.53161851092807,3.63460488430109,3.74509746677053,2.82287084208438,3.98169741825672,4.90299487288478,3.81029913564584
"IL32",1.82404683454711,4.84889330305891,4.30390492417819,6.12757550474018,1.76233180513806,5.87620504515794,6.41063620815056,2.96539458895857,7.41909219364421,2.81173200730856,8.02115766132118,7.31105801724562,8.78244460564146,4.2345319767397,7.82226489299442,4.74027458497107,1.8746828832527,5.82930159691822,3.22096602457815,4.52552394112975,5.02938662454209,7.35294386329588,7.14566726663536,8.28135978900533
"TRAF3IP3",-0.164480098613064,2.52251279809583,0.329927262179468,3.76407009199611,0.489306577350914,2.86379972307727,2.68004074148753,1.08159187249029,3.88779818723101,0.840990866658416,5.92809312837826,3.33566904037763,4.41908713589536,1.09464820955458,3.53438537540257,2.36232961017157,0.52798111838886,1.99989179381415,-0.359617844333151,1.80997001151731,3.03495342857568,3.21730207356548,3.9033757595554,7.1464719412908
"STAB1",2.49556725845794,5.79302188763231,3.12253689039428,5.74602247816073,2.23291243907683,2.39625815025399,4.53761290330125,2.45818249104688,5.21445124035738,3.14314521983639,6.31677207780533,4.93857279659423,3.9247650066909,2.92611520916929,5.12615103250443,2.91457983052192,4.25615017738666,5.04116411555142,3.87839184521195,3.64037799068184,3.95781247374789,4.3523983712065,3.72991163223592,5.12459282540582
"CD4",1.51549043521723,4.63858940712908,2.9889954575212,5.34804116163843,1.21814258355754,3.70965457250963,4.59282775478428,1.24575119983215,5.8782912907703,1.42046623283798,6.32740892877917,5.61662529540131,7.16680581139685,1.82519947713596,3.80642717700988,3.27632097071669,2.4937472330494,4.84694455770547,2.31099732791145,2.77971357778651,3.55777767139493,4.48414457754581,5.65325209606569,6.23749106168064
"BTK",1.74278665086359,2.42164611356748,-0.0329967030578066,2.96715569332485,-1.16006620393727,1.26674457077415,2.11955538469528,-0.695021764196039,3.6780606340136,-0.345650620135191,4.80062039111604,2.96287287577244,3.86739242083557,0.813081346463798,2.36219773586971,0.565402203890838,0.42539484934009,2.18633574123976,1.55930090962812,1.55170795405076,2.03009590351428,1.78252598881468,4.78024184766358,5.74575095201234
"FYN",5.62322600284635,4.59629711550157,5.44471344222294,6.32539720892586,4.95023510048569,5.78289078063622,5.88409723749919,4.32994160928822,4.99761758715098,5.40886807661085,5.80371525854872,5.8772338185604,6.26762193772435,5.8563831964995,4.77478705960117,6.44778084239544,6.01004577490384,5.87232889975332,5.4452499632319,5.13064674950597,6.01777050612915,4.45491284838016,5.55255844182682,6.56847755628023
"ANOS1",-1.09328176865513,1.39737583900935,0.288736537169897,-0.864199861593433,-2.88843445504048,2.1630671473429,0.948922241156832,-1.99196639988659,1.26446436950948,-1.35675702821564,1.07883523818732,2.26354226531359,3.15880395301799,-3.31062282420449,-0.658037017369778,-0.813996484430961,-2.25541864613591,-0.192730817795407,-1.13363479086547,-0.795198199479488,-1.37218400959548,-0.395042450447537,0.959273100095569,-0.833893893004755
"PLAUR",2.55060766440184,4.64849420460347,8.50978687831133,6.57221969018032,1.08079408195824,2.6924472849786,3.8644833216069,2.70906561069164,4.57742882803575,4.1988555679076,5.56239202928296,5.83437244401807,5.96260223231055,2.83208593057646,7.25404597482697,1.89924138183926,2.47921762449983,5.29722810722444,4.48460863864312,5.14040648406153,2.84018725742893,5.30328759090993,4.64540769507848,3.06101058860405
"DCN",2.56459034986497,10.0504758492918,6.85918688255493,7.50654958045877,2.91287784251414,8.53581968715014,6.9137630694245,5.1669122357118,5.32884005373304,4.04677915135237,8.71360990485406,5.50309426915734,6.35666500236433,4.10225499377517,5.88369656556102,5.68189617292248,5.03175688342328,8.06469426998426,5.58381089079761,6.99568801949877,6.8999610665839,4.54643148880567,4.80325803957689,7.31654402178666
"BRCA1",2.82686165158839,2.63725317964718,3.14168455390653,1.98818295061483,4.23100992204362,2.30064505111117,2.84477329257003,3.8005996846058,1.87110634545917,2.93314580931693,1.16637481305432,2.30085001556924,1.42116134786292,2.65314258552309,1.64253985155593,2.1181636762271,2.28102161953588,1.76561112231403,4.24477291734248,2.2101176322338,2.92965656711458,2.43167644139263,2.25520461037452,1.2598268575623
"ELOVL5",6.45914469052457,4.9892162276432,5.87780804117652,5.68628480713744,5.60264690850537,5.07730282509298,5.90427936037216,6.54506949269905,5.08511867999656,5.49189797947721,4.93496462043612,5.74007215657358,6.16711903787291,5.2159115210291,5.24042882439674,5.1841493508084,5.5474220657581,6.98870740620022,6.25118129501591,6.21387409976118,5.08348145480683,5.54711046222554,6.88496416470878,5.67975594457477
"ALOX5",0.941083768660306,2.99355300000116,1.81677171385822,2.90028140173146,-0.530184858145154,0.907252185848018,2.95864782867222,-0.586854392505273,2.46092862145177,0.462711984928385,5.77916252169301,4.37148916551584,4.73373394725748,-0.0168287053471781,3.69820736342782,0.452732476316133,1.34933130478352,2.58056279236097,0.562493996087548,0.42342757426405,1.22614472750085,2.0204879779491,2.92081730165144,5.65028779368996
"KDM5D",-9.96578428466209,2.58195375084882,3.09855767579586,-9.96578428466209,1.16082985560996,-6.59140690673225,-9.96578428466209,-7.62730567177492,-9.96578428466209,-9.96578428466209,-9.96578428466209,-5.01909552713147,-9.96578428466209,-9.96578428466209,4.17325538302097,3.16578494403362,2.76783062260127,2.62375451263404,-5.49960093826083,-9.96578428466209,3.94981504078236,0.898216093306413,3.46237957184102,5.06059650658091
"NUB1",5.59453959239274,4.45737102848955,4.7454309694753,5.43554192307751,5.33527243300455,5.30853926413547,4.96248424362854,4.45493916124739,4.59435147923544,5.0721658400473,4.69493589423511,5.61185696646737,6.2206878753145,3.42376639477522,5.04266184573722,4.69888520936509,5.36359513068087,4.71075134166739,5.02921433106143,5.45078566016774,4.59757884613516,5.43767717921681,5.41831815181788,5.58467393285523
"GPRC5A",3.4630076896748,2.23028295588948,3.35294209828193,-2.38605351403691,1.53978911561993,1.82676201577631,0.195208992140595,2.6497947789357,3.48369971221248,0.212581789239722,-0.557214645460944,2.66307359042119,2.35847503410631,-1.8947564049893,6.80356286832441,-4.56722184935339,0.817795142850997,2.41539091627205,1.19893412424768,3.07851419833257,1.67526042051146,0.377301471546458,1.00800634086431,-1.8568103624944
"CD6",-2.34953687617642,1.26914089558804,-0.965029321547392,2.94940419744591,-3.29259536506872,1.39911092329323,1.87770499240697,-0.916344102919368,2.86687831310122,-2.00311959166152,4.78000031685155,2.55206469109651,4.06497767187611,0.11294028395801,2.2524277702565,0.488926267524134,-1.59392489188741,1.24788499127889,-1.84586790618579,-1.78742817106281,1.87764217811768,2.25315425769079,3.53054523492493,5.46497859600885
"TACC3",4.32670271937304,3.55209421021056,5.24671970004324,3.74594720870464,3.50286521136663,3.4829386099839,4.87215895722894,4.64002508022666,3.54883115400482,5.8041749145929,4.50006267358536,3.00892964047917,3.98369593345814,3.45773873797883,3.74340725199067,4.01324784956527,4.37658906142546,3.53089476129241,3.97834208874892,3.77413341681037,4.49776563185041,3.65601577352879,4.38749351351162,5.29480819517776
"WAS",0.403398622566909,2.49694291222148,1.50650039043362,4.30006513677876,-0.0629886338600301,1.79012977053671,3.19068596609884,-0.239833568206316,4.52253916188641,0.445101611948072,5.68674702488809,3.60032923014583,5.07113195292271,0.74194582774788,2.80816054530946,1.62251340801923,0.992848175527003,3.43958324682017,0.710058104143181,0.830247209999528,2.5101770822187,3.26003619753598,4.15927395754716,6.48331276125553
"ISL1",-0.0226145575217399,-9.96578428466209,-6.78041722024159,-0.972053321109078,-7.40095983991728,-2.48100971595597,-4.43638809010333,-3.33158746334161,-9.96578428466209,-0.109947159425182,-6.87312353801576,-5.82734659049912,-9.96578428466209,0.33421356476596,-3.4482471660386,-0.28456168814194,-4.48442075398726,-6.04149433314387,-0.185403640710989,-9.96578428466209,-9.96578428466209,-5.24885921814863,-1.602070020864,-9.96578428466209
"SLC11A1",0.409885101842981,1.76788781385994,1.18479443073194,-0.986410538510963,-0.324507413244288,-2.14695289235489,0.993326551532163,-0.99211561471455,2.30188610435846,1.62667275260599,4.21075510288902,2.82115915130146,2.66019846183785,-0.177654893996534,4.27496233518384,-1.41856197679193,1.2367313895248,3.71661782996571,3.18499590949703,2.54416881917015,-0.440660907635549,1.90256758158738,0.628176333463173,-0.0982630566369861
"WWTR1",3.72250974184025,5.14481320952372,6.5109144614231,6.59357637348406,5.7519376502601,5.62851407335907,5.29001147211484,6.40296940270789,4.29007046960154,6.01462086369009,3.6355106329882,5.3635005179616,4.57991627553275,5.94431264786274,6.37279020340527,6.01331485618876,5.89295439275378,6.11406712645412,5.95624720199519,5.57918014812715,6.55035893682707,5.19072546785642,4.1371592031662,2.58311226062812
"MARCO",-2.78958120960657,3.13938272116601,2.66987942753904,-0.494117198152323,-2.14965181461155,1.39405859766354,2.37885006200571,0.422954167926702,4.04240795417206,1.99392429856226,4.9132628321552,7.19863165886819,7.9813846145873,-0.652005594076261,2.13288936532587,-2.95475834956954,3.65985607441742,6.16075685953446,2.41091633106013,0.325869918560033,1.1402878597104,3.118100535898,2.44060144499826,4.79338611652864
"SNAI2",4.88678423706052,5.86716504962523,4.38101336112192,3.09387281635024,5.1396904992525,5.60959541548165,2.96376263413301,3.87114381111766,5.63699865780177,5.29664828569033,3.04097832366348,1.87639317643885,3.54022570059554,1.85977876601486,2.22663183180789,5.03532038403003,5.802676619768,3.5147661203884,6.66347271406765,3.4696906523523,4.38814819859705,4.77729871869751,6.23306358081159,1.07836389980799
"CD74",8.0244526648655,9.77994255349206,8.86354514847084,11.5154095948214,5.92564582002784,9.57845006076645,11.4370243003404,6.35131030190492,11.5782599321752,7.13636572328285,12.5786771914834,12.4184485053403,13.0741985069644,8.2406434781519,10.4822341924185,9.29239296045865,6.80161136775431,10.1515759981361,6.24583598857166,7.49283059174357,9.08177101637832,12.7564481163382,11.3979157749377,12.6258779845771
"HGF",-1.35354238103968,2.33328346488859,-1.23092566137571,0.428388984439471,-1.67632787576761,-1.24218476914294,0.125413057177604,-1.85449730895796,0.905412518982193,-0.76600153371563,1.81853974277009,-0.0925785902802414,0.850383393408717,-1.92200781469493,-0.168443753637274,-0.166612772013936,-1.26009660944833,3.04233090237722,-0.156331252451501,-0.465161464460668,-0.690930941554382,0.417228730826583,0.0318468500448609,-0.390286636449426
"RUNX3",-1.45676545859068,2.35552376897836,3.00142756156404,3.33032892730233,0.762876041875625,4.31464577669695,2.35311152977481,2.15023470866301,2.68131657174998,-2.19153092330029,4.1791845757149,3.24480792178206,3.51609081084331,3.670262507814,3.63375668098196,0.910970533495249,-1.61138942819871,2.20781165872666,0.502585202447439,4.625504294584,5.1904133744891,3.45380727437168,3.05546639450836,5.28849145530889
"FHL1",0.310130681936911,5.86450560741083,5.2157174199564,3.49278894151482,0.901594853243243,4.19535547327366,3.16582031082565,4.72556121733008,1.49400079194403,3.97010819201819,4.86114647410923,-0.232241822914516,2.26098913878607,0.605541743360766,4.34412543787687,0.498373427564221,2.18849271228482,5.15372023077153,2.08027562258918,2.17417308832424,4.10992883253727,3.13076781631007,1.24216955624748,5.00817759930979
"BIRC3",1.30083244832808,2.35891945350059,1.1211347914728,3.95106552525219,0.851175346791129,2.57909082187369,2.7354008645051,-0.974948519573178,2.97301975031867,-1.78501978089295,4.53038916902348,3.86070461872878,4.23441701271506,0.512145961823132,5.40635639008755,-0.0716546933877932,-0.416839107127151,2.50841090397754,-1.36462635403068,2.12759036138605,1.61407374037422,3.74774185302657,3.8562786059214,5.93721254715349
"PLEKHO1",1.31760508086622,4.97090425818975,5.52379402311522,5.52905880241669,2.04170908389939,5.42231711058197,4.83871986860923,4.68381994820724,6.14747766266728,6.40985761492755,6.69645293117802,6.20872013428497,7.04945651867059,3.06733755038545,5.42871525393692,3.12932753370512,3.61482761033224,6.6115811054128,6.34415385094887,4.83451402996296,4.84518893534008,5.27654877442728,5.7319597847687,7.3428924820384
"GCLM",1.94233433314754,1.7363061318339,3.63885001844978,1.95055053158251,2.70457985552194,2.231582937343,1.82007273529439,1.28368475981474,1.74906652267912,2.07361803620767,1.58043013529458,0.867366719799471,2.22752237577091,1.34174100896913,2.61362358643739,3.043948126507,2.78876713394039,3.31320521191824,1.92274589227296,2.15824976474739,2.3281212569926,2.2080926916584,1.83277256894603,1.63201223076713
"DEPDC1",1.83533394383861,2.50297210952807,3.82323984413102,0.645904516102127,1.23817541857738,2.85600962389795,1.5210708440088,2.77315872831251,1.21971683401827,3.17076793024545,-0.20962496637546,0.290436200178813,0.089687966646348,0.649413122702284,2.17308264846055,2.39741965230161,2.47536249718887,1.2788530775852,3.07898548761891,1.55038356523239,1.61520439763918,1.47558818154736,1.87565819539753,-0.14831931022269
"RRAGD",5.31664900443191,3.90709255877715,1.72458479240857,0.170142992222936,4.26963913067551,4.49103212960929,4.51623582211169,3.12925828481799,4.80005085376669,3.36745494082898,3.20860465538672,4.83854844152553,4.13665077016012,4.06277796123445,3.00880776292807,5.88951734839562,4.19564681626223,3.30556347477405,5.65040843597675,4.46226831413452,3.84215419899029,4.14485398746566,4.13046142349496,1.48290506064691
"TYMP",3.20120098772312,4.90578410520163,5.5771840778557,6.27507411337577,2.36554977218462,5.60405352715645,6.20021398985534,3.56304827634428,7.49310289053248,2.3519957399073,7.17213744027586,7.00086761030078,8.02099660131087,3.93382754222046,6.39902750091172,3.77320515698557,3.25249740782065,5.27606855793367,3.57823832292326,4.0156759684163,4.87562281253251,6.57761160818442,6.60859341354449,7.51644858400284
"VIM",12.0690573198013,10.9170520252748,12.6017617367212,10.445936675603,11.9210565373153,10.7417121900114,11.0222922082785,11.5426503065485,10.5059018435624,9.59257663397219,10.566064506237,11.3346928462825,10.6324781690689,11.8752428988432,9.50486466066891,11.9229192088465,11.8421975007942,10.2628477169067,9.78885207549428,10.7641094143031,10.2132634299387,10.9566455029457,11.1195837851089,9.82364269525149
"FAS",-1.50941344037998,3.45239775559947,1.04417026567089,2.52401852814671,4.15748033427087,4.25355820803843,1.63342191011588,0.877759952666711,3.91913028998549,1.62503664626844,3.03526143105354,2.80884219206803,3.87516078993446,2.09421241891353,3.47618724117016,3.5683848285647,3.47095327987826,3.35402893805439,2.1790491865456,1.74144541322989,3.97973270883868,1.88268217276467,2.51645394204542,3.26200461536691
"CD44",8.04758201095827,7.49610278149205,9.15073736244599,7.7829261542473,8.12697285625777,9.83422452243102,7.74658149978581,7.57088031712497,7.59179907811781,2.63945445547106,6.67622508828972,8.77745259333265,8.4247247787839,7.74970185726588,7.59185142676418,9.93317278496146,12.0944772423449,5.20884496594006,8.62870070052256,9.01494941189413,5.58951183218173,8.78795151879962,9.22410299704754,6.68935507786467
"KCNG1",-2.41723206403306,1.03691120447477,1.5057436047566,3.0755668584017,-2.92722738594844,1.00630520593621,-2.08724897756278,1.31637748191973,-1.5037360569985,-3.64603269350104,0.234942706681437,1.52242240429898,0.0521376233351753,-3.34869154630888,-0.83759658589023,-1.59347639084263,0.707621968554101,-2.39698450790971,0.572870270709794,-1.12299397063968,-2.82903919484354,1.6920254015694,-1.44085476890995,2.9354107141994
"SLAMF7",-1.40496235464866,2.44289573687757,1.69752919885695,4.50634804939327,-0.204289564420492,2.81822476662679,3.56627937029975,1.90398304167209,6.41251565210713,-1.39922405973377,4.03165985430805,5.5241201083286,7.23473122601661,2.88786835741289,3.74077648486523,1.83184887331366,-1.9208055550959,3.26403643026693,-2.89957666887507,0.840161067140846,2.233799115774,4.71574514083969,5.72732419888688,4.63777252000544
"PRKCH",2.45086020572647,2.91915127060402,1.25967020922441,3.3426685182025,0.184204110491557,3.65253238508424,3.27674230487367,1.92793816047275,3.86857812455693,0.604659671399092,4.52988964465689,2.88519167731729,4.4249019386979,1.36984054475274,3.11925988347821,4.35639738667659,1.91006871595131,3.24033417579565,1.47149964194639,2.63691226090861,2.62136267646493,2.94897642257051,4.18802896646195,4.84608206168726
