"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","CYT_Rooney","ICB_small_Nathanson",-0.551,0.749,24,0.461879172187944,"Melanoma","CTLA4",0.461879172187944
"R vs NR","Teff_McDermott","ICB_small_Nathanson",-0.67,0.764,24,0.380563032898556,"Melanoma","CTLA4",0.461879172187944
