"","Patient102","Patient105","Patient106","Patient107","Patient108","Patient112","Patient116","Patient125","Patient126","Patient127","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient14","Patient150","Patient154","Patient155","Patient156","Patient158","Patient165","Patient166","Patient167","Patient168","Patient169","Patient170","Patient172","Patient173","Patient179","Patient181","Patient183","Patient184","Patient185","Patient188","Patient18","Patient23","Patient36","Patient37","Patient40","Patient47","Patient48","Patient51","Patient67","Patient75","Patient77","Patient78","Patient79","Patient8","Patient96","Patient98","Patient99","Patient9","Patient191","Patient189","Patient200","Patient201","Patient193","Patient196","Patient197","Patient204","Patient205"
"CYT_Rooney",-0.21392367322601,0.314251639833032,0.664245304975205,-0.122838401908182,0.0282673788308243,0.654646134887436,-0.683959451401299,0.971973762671437,0.706022659511028,0.0864639236732136,0.668455575432326,-0.887895050685717,0.677400119260583,0.251043530113292,0.603039084737967,-0.0405485986881379,0.824686940966009,-0.631484794275476,-0.824686940965988,-0.0852713178294756,0.187835420393553,-0.579539845657643,0.281454979129393,-0.306499701848548,-0.618962432915908,-0.48165521785584,0.438089354476822,0.224209898628496,-0.0363744782349469,-0.740608228980298,-0.220632081097205,-0.682170542635646,0.706618962432916,-0.176453286918418,-0.923076923076889,0.71735241502683,-0.334976141272242,0.588550983899819,0.067978533094799,0.589320837672105,-0.800238521168733,-0.689922480620137,0.677996422182471,0.651759093619554,-0.64758497316636,0.562313655336912,-0.167774086378756,-0.433512224209906,-0.563450783596535,0.398814847942754,0.356341856957455,0.365167045399606,-0.646392367322589,0.463923673225999,0.262419041546376,0.385225142025581,0.844364937388193,0.664877757901014,-0.270721526535493,0.442373377016522,-0.402504472271917,0.358378056052472,0.591532498509243,-0.0471079308288785,-0.542635658914727,-0.0727489564698964,0.0429338103756623,0.774597495527729,-0.532498509242692,0.402504472271911,-0.497912939773406,-0.694576956204844,0.164579606440062,-0.518053070960043
"Teff_McDermott",-0.465308256409047,0.337713686990656,0.711469534050173,-0.00477897252091192,-0.144563918757481,0.541056255014648,-0.578411559617268,0.888888888888885,0.782556750298684,-0.196738716459835,0.543014446817908,0.0321201744172716,0.0658492600663793,0.516129032258057,0.487188579655013,-0.10454002389487,0.718637992831535,-0.302270011947459,-0.489350088331165,-0.334120282207333,0.308822727921284,-0.702238307369665,0.401101643394884,-0.411160140151342,-0.663375727863819,-0.608844687794264,0.474307222976179,0.266308050325227,-0.515954519216609,-0.596774193548428,-0.583167692442827,-0.830823879319283,0.181771373469425,-0.401380625280081,-0.654121863799324,0.485154464728394,-0.707287933094429,0.523546363803508,0.222795698924732,-0.0988727281834226,-0.685515717133671,-0.143700060413161,0.587813620071682,0.612684571622926,-0.279108870273443,0.413238231609545,-0.475676409681946,0.49205633885787,-0.759259259259308,-0.166385241400145,0.590061321063998,0.43298087825907,-0.545405000989496,0.527153980928954,-0.265945554642338,0.13889979675329,0.664795834706372,0.74014336917562,-0.480884109916399,0.560206072569876,-0.176059647175869,-0.104184977999018,0.656511350059728,-0.155095577847596,-0.337473905708329,-0.330901005111088,-0.0621266427718216,0.644351027551014,-0.709817335754839,0.47161865757193,-0.45206998015728,-0.399641577060961,0.21046051402266,-0.434302700509291
