"","PD_005T","PD_007T","PD_010T","PD_011T","PD_012T","PD_013T","PD_014T","PD_015T","PD_018T","PD_019T","PD_020T","PD_021T","PD_022T","PD_023T","PD_024T","PD_025T","PD_026T","RCC_102","RCC_105","RCC_106","RCC_115","RCC_117","RCC_14","RCC_18","RCC_21","RCC_27","RCC_41","RCC_50","RCC_73","RCC_90","RCC_93","RCC_96","RCC_99"
"ITGA3",7.06167900677283,3.88859714580017,4.98417917660259,7.25569899567554,5.62002916451785,5.17236749928483,6.79546825987764,5.68232046648426,6.48350947429489,8.50783823746701,4.97089965791316,5.3466378306274,6.11397131240555,6.01326125113895,6.69168769434115,6.11021706201301,5.450254494034,6.46696964604193,7.5759249223931,5.47316996590827,5.89556922380611,6.18489517363166,4.92557224165626,2.79098050474205,9.42086763190158,6.08896839874899,4.83344673639893,5.12436949607905,4.90260423907663,3.93555403851745,5.31690599866554,5.62851115711807,5.2008887990915
"GDE1",2.63250088948452,2.42519072149345,1.19597745864259,2.82191425930924,3.15720543819248,1.88009774972197,2.02892271059601,2.88186035842123,2.90130136195475,1.84839759952819,2.40354041774525,3.1844389980157,2.32797472500578,2.39259219566615,2.68952281684839,2.54621538477936,3.31339098483339,4.30968552377362,5.01885668521201,4.24191643393021,5.53856920234584,5.27131361485597,4.30895784543634,3.32351418724139,4.8058599278667,4.83546937181612,5.63375086965033,4.66567700672279,5.55829825119776,4.62415939689048,4.74582892019604,5.02329971493436,3.83905258069301
"CCL18",-0.432454552356253,-3.62593428177746,-0.597277823154395,1.14469902515414,1.9712216418545,0.60502015306241,-2.82623293226329,-1.46992925777492,-1.68501351453148,-0.859875776090929,1.26963165094044,-0.413115187147815,-1.59509687785487,-2.93236128312464,0.444667066841908,2.76786663217663,-2.2446850959549,3.87095647309494,-0.0877333719335504,4.9982406430929,3.14420956118307,-9.96578428466209,2.44387182839776,1.51146803927587,3.28555017999677,7.04177959932599,3.72694017779995,4.01801096049819,0.311503115468269,3.65889695712685,4.97181942144621,5.07171977216375,0.808179083771471
"CCL3",1.15769051358205,2.27530509419877,2.13454953446445,3.37448310432147,4.81665090133419,4.92319673061291,4.15550638879337,1.55139296802745,1.98950236086238,1.3050950106667,4.55526399773875,2.85618895081904,4.16518840068709,1.54151483946068,4.34347888926864,1.62339868237726,0.0854246562526777,3.69499159352052,3.04980499573531,4.21497959762421,3.59943682303214,5.31183003892385,4.11278352311619,2.81372989448141,2.79098050474205,3.96541490744932,4.85803074237472,3.90313470372418,-0.232768962976124,4.94396819697603,5.88876759797617,2.95438245257678,5.15222398921129
"TMEM132A",3.7160031605131,2.50868217947054,3.72475939733651,3.46349167726237,2.1861835863061,2.87990177131498,3.3506386808415,2.1861835863061,2.62784026504398,6.79922980662815,1.62339868237726,1.3790663992809,3.41291698330213,3.45299071166983,5.11690533331779,5.58739499676088,2.34794906560173,4.28769391293474,6.11792356209121,3.21116798367419,4.02334407620433,3.80642717700988,3.06539997747876,0.956800118051576,6.65307435223844,5.50306245774998,1.95270630763022,6.59650286527445,5.07171977216375,0.705756782049797,3.66914018047301,4.33778244026712,3.94588857440603
"TNFRSF12A",4.21497959762421,1.88401173758352,0.24000896473507,2.82598909619666,2.83207985267166,3.82079165850631,2.80136562762277,3.49326304228613,2.58760502005953,3.79191823310844,2.18935017019567,3.1844389980157,2.37601248772974,1.22094900446678,2.99656952397319,3.07399156457159,2.82395311640506,6.09425718642192,7.60896444229792,5.75784999822417,6.95583586227599,7.5512929824986,6.11750804530693,2.95995557967556,7.26435814731337,5.02374326626323,3.75819655960675,6.43564526095028,4.84302909903249,7.49362331874336,6.42946532692508,5.36355658550719,7.06459188679144
"CCL26",-9.96578428466209,-0.619270551496451,-9.96578428466209,-9.96578428466209,-1.7809089417538,-2.2446850959549,-2.72737954533701,-2.11403524324603,-0.808437349299244,-1.21424022557299,-3.17136841831198,-2.11403524324603,0.368489000645104,-2.46593839757888,-9.96578428466209,0.60502015306241,-1.46992925777492,-9.96578428466209,-9.96578428466209,-9.96578428466209,1.22712493444993,-9.96578428466209,-9.96578428466209,-9.96578428466209,2.66243339556135,-9.96578428466209,-9.96578428466209,1.10500752476097,2.66015281487638,-9.96578428466209,-9.96578428466209,2.53630161932382,-9.96578428466209
"USH1C",5.96719166833043,4.37023404166983,4.05319824318173,5.83670683711398,4.20484498579147,4.55771641436072,4.97503398391896,5.74014503406877,6.07534008784244,5.12849962698339,3.32351418724139,6.04157154700155,4.99914314541559,2.44916515681218,5.86073937630287,4.78978140860507,1.55139296802745,6.59590640836489,5.97478167026891,4.88806130781687,6.24033341247524,7.32823509632695,5.25591610909058,-1.35475948735473,0.808179083771471,4.70049520534484,5.92697196069114,5.78740634364307,-9.96578428466209,4.55649072715315,4.52111357068251,7.37678525233244,6.45912009403085
"SCIN",3.76670116040981,2.92238816500384,1.74027998267288,4.70548033484162,5.6435964812929,3.68941099302623,3.36890800303177,3.79607855620167,5.12436949607905,1.60928217991657,5.61120189477976,2.45180455572049,4.69103159072868,4.26761070240877,3.9892298543215,3.97278454248179,6.67286374149521,3.53990323581025,5.40534572407975,3.18602507451768,6.13813866156746,3.40476690961225,3.88371855654118,-9.96578428466209,3.79503959962436,3.95707881892,4.12771581140639,3.66345848188466,3.73563048366954,0.669933835668961,3.11619838466359,1.16414264884831,1.02927618237063
"ADIPOR2",2.57555437330874,2.57797256871381,1.83228243570098,3.64742964422186,2.74006405884686,2.52882133100913,3.58388007347952,3.53244164668783,2.94691796798583,1.3956112485038,1.92257845650856,3.00557963969985,2.54374332276106,3.22203170248449,3.65432096394498,2.99656952397319,3.56693689529116,3.34638962502836,4.11528299539919,4.67700075734155,4.56870099038946,4.37719317455434,3.61482761033224,4.39169899237382,4.21808367077239,4.98873012527049,4.66965043750259,3.57664306286428,3.98194396021303,1.32826202860941,4.24267871601541,4.94724534833528,3.81157378292765
"CEACAM21",-2.38835545662634,-2.2446850959549,-2.2446850959549,-0.182786075741673,-0.533242384273829,-0.413115187147815,-0.182786075741673,-2.31473259348316,-2.31473259348316,-2.31473259348316,-0.45205668870965,-0.134477040860036,-1.31832585820717,0.566571640626761,-0.575615328461903,0.660837367696284,-1.63935479753978,0.506906554580693,-0.533242384273829,0.202887833470143,-9.96578428466209,2.93941466130072,2.84819726695259,-0.940644722383579,0.486456955768731,1.88009774972197,1.75745001623129,3.55225409491605,1.41196851036013,1.72290313856045,2.45180455572049,2.7868054329789,0.919149363287674
"CD79B",-2.63486740654747,1.13158948432814,-1.46992925777492,0.978927776381399,1.25156762060825,-0.997117491466879,2.32797472500578,0.903809558578697,2.07416287550701,0.986228880227399,2.93564832306742,0.94185751900344,1.26363540356833,1.42277121932047,2.88966822508196,0.642470537315822,-0.641603738043346,3.87489530576721,-1.11716134423275,3.37726259663846,3.64858048589177,3.52494126566186,4.04971788436005,1.78282789207489,-0.859875776090929,1.49620666592348,3.01987979435658,0.714575238851626,1.93016960815008,1.56608449051547,3.81977035374832,1.32250505751888,1.43882511317562
"PAX6",-0.758769964484555,1.57094860517333,-3.62593428177746,-0.0424567992428948,-0.0573916638883367,-1.46992925777492,-1.11716134423275,-1.51045706435753,-1.21424022557299,-4.29335894269059,-1.51045706435753,3.36611235243137,-3.45798964446339,-3.45798964446339,-0.0276749584428483,1.87223777364246,-2.38835545662634,-1.59509687785487,2.72922645499115,-1.68501351453148,-3.8160371651574,-3.62593428177746,-9.96578428466209,1.55139296802745,-2.2446850959549,2.06039331222714,-1.18114943910457,0.880489626687819,-0.413115187147815,-0.432454552356253,-2.31473259348316,1.15120939288489,-4.29335894269059
"SELE",-1.99424073071132,-1.11716134423275,-2.93236128312464,-5.01158797427521,-3.04692104738749,-0.687334826441606,-0.886299500835272,-1.68501351453148,-4.0350469470992,-0.997117491466879,-3.04692104738749,-2.38835545662634,-1.46992925777492,-0.118726938570751,-9.96578428466209,-2.17788172527066,-4.0350469470992,1.15769051358205,-9.96578428466209,3.88469559507296,0.264236151043547,-2.63486740654747,-9.96578428466209,-0.267079617891743,-1.21424022557299,0.112366523072563,-1.88363524330822,-2.54793176977619,3.84207372176819,-9.96578428466209,1.52656966049778,1.85638817681409,-9.96578428466209
"FMO3",-1.43050890804128,2.81782788059395,2.14110576043013,2.96550726061908,1.99313087142926,1.29924465779607,3.77304687128231,1.29337048420475,2.87204072453461,0.138814468902282,-1.35475948735473,1.98221784631558,2.91475584967165,0.517023672064581,1.25156762060825,4.29653082509808,0.0717626693000913,0.556797246592743,-1.18114943910457,4.21186883141248,-0.356605546520108,1.74459168654238,-1.88363524330822,8.15548109020444,1.17056605679207,3.33070180195338,-0.0724827538015237,1.31672502157875,2.72704913033868,-1.7809089417538,4.61241147935572,2.31932890383941,-1.73216460790239
"ADAM22",4.03747008138869,2.85817997382465,3.42639895265028,4.05493527914004,3.08082818459605,2.88186035842123,3.76670116040981,3.53990323581025,3.40476690961225,4.56809292537123,1.74027998267288,4.96859768040012,2.67378253401974,1.73595535401226,3.10114578420201,4.45818511639851,4.40060623739089,-2.2446850959549,1.46519088792598,2.12465899041952,1.27560307933685,-0.710755714843358,-9.96578428466209,0.537047519404657,0.00144197417390632,2.55360625668587,-0.103146927103293,2.25429168632222,1.05727696507325,-3.45798964446339,3.03227720097433,2.87990177131498,-9.96578428466209
"CELSR3",-0.968604803724466,-0.0877333719335504,0.496717987935177,-2.54793176977619,-2.82623293226329,-1.59509687785487,-1.31832585820717,-0.710755714843358,-1.88363524330822,-1.99424073071132,-2.46593839757888,-1.24810786159569,-3.45798964446339,-1.88363524330822,-1.55215635563791,-1.88363524330822,1.31092173523034,0.151858816727005,-2.54793176977619,-2.2446850959549,-0.150400988848548,0.24000896473507,-4.0350469470992,-9.96578428466209,-2.54793176977619,-9.96578428466209,-2.72737954533701,-0.0724827538015237,-1.51045706435753,-2.63486740654747,-9.96578428466209,2.37323058358799,0.444667066841908
