"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"OS","CXCL9","ICB_small_Riaz",-0.204479657083583,0.292630500583805,23,0.484699534317677,"Melanoma","IO+combo",0.757242380433757
"OS","CD8A","ICB_small_Riaz",-0.208662319989295,0.270412846684599,23,0.440325592852293,"Melanoma","IO+combo",0.757242380433757
"OS","CXCL10","ICB_small_Riaz",-0.170060574469484,0.297777170861956,23,0.567931785325318,"Melanoma","IO+combo",0.757242380433757
"OS","STAT1","ICB_small_Riaz",-0.0536926364917663,0.290621530478762,23,0.853424293563264,"Melanoma","IO+combo",0.853424293563264
