"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","CYT_Rooney","ICB_small_Van_Allen",-0.847,0.731,39,0.246142275979559,"Melanoma","CTLA4",0.475380737569064
"R vs NR","Teff_McDermott","ICB_small_Van_Allen",-0.485,0.679,39,0.475380737569064,"Melanoma","CTLA4",0.475380737569064
