"","Pat02","Pat03","Pat04","Pat06","Pat08","Pat118","Pat119","Pat123","Pat126","Pat14","Pat15","Pat16","Pat19","Pat20","Pat25","Pat27","Pat28","Pat29","Pat33","Pat36","Pat37","Pat38","Pat39","Pat40","Pat41","Pat43","Pat44","Pat45","Pat46","Pat47","Pat49","Pat50","Pat79","Pat80","Pat81","Pat83","Pat85","Pat86","Pat88","Pat90","Pat91","Pat98"
"FGR",6.5076519490175,1.61870851231379,1.3050950106667,3.82181224077927,2.31353610328052,1.35106289894039,-1.35475948735473,-2.82623293226329,0.177598929327733,2.47793631599449,-0.619270551496451,-1.0862010350493,4.00099151204739,-0.284545872884282,-1.73216460790239,3.71490488469812,1.96014098031077,2.33942247434663,1.42814239097833,-1.24810786159569,1.39011735366633,3.69832962148096,2.4727476930995,0.791605724704551,-9.96578428466209,1.82007682109751,-3.17136841831198,-1.51045706435753,2.38984210897583,1.37350901551801,2.68728469191784,0.476122419880152,0.334568275666133,3.02343279465228,0.0299828662157143,1.72726701073491,4.04010337800847,0.623866861852698,1.91876784932515,0.87263179113525,1.74889054264591,1.05032755355842
"CFH",5.37854630300616,7.10769832965233,4.13430309545331,6.21957512887385,4.38550006401303,7.59201593871636,3.14257681424455,1.47040671081933,5.5567665975792,5.71427299730995,2.48310634496718,2.48568442828527,6.42241803598829,6.51823612014979,4.35550967403436,5.7032391580091,3.76987750480361,4.84453630251358,2.22373144513811,7.39858124601794,3.46218322892228,5.70931820990634,7.68131572831964,5.18153990577361,3.94120023334749,8.2744992949379,3.00378211262842,6.18727288364929,5.15748841865675,3.40476690961225,7.60133252875918,3.49965457781943,3.62889021902782,4.61770988381262,3.29292895549713,3.97737152027725,5.65251517644302,4.32416254095205,3.96356660146223,4.50595442723402,4.4343613460671,3.73237775034917
"CD99",10.6821703271922,9.10868387622616,9.13906781505915,8.91378999115288,9.04182613323997,8.77541604291001,8.79028658417382,7.37791326626717,10.0525829938957,9.60347984280732,8.64140513402018,6.91994783153794,8.90923607303804,7.3313738085244,8.04696572515774,9.5207188505941,8.25786394778136,9.08188549918638,8.67715936555717,8.08805146802598,9.59846384229436,9.27500937622836,9.7705168907412,9.52648163325915,8.39742221944544,10.1354925449693,9.05769665739132,9.36139772654323,8.11790798237137,9.05994196707401,7.93015186300551,9.90317538472073,9.15974774397232,8.47569695787792,8.77590981668722,8.5573526471413,9.4318339501332,8.48261034135646,8.76431098651532,8.97530631845005,8.0937661460629,9.10672257677808
"HS3ST1",1.62807365419614,-3.62593428177746,0.94185751900344,-1.0862010350493,-1.46992925777492,-3.30757280191029,-3.8160371651574,-6.50635266602479,-4.29335894269059,-2.31473259348316,-0.302226180444814,-2.93236128312464,-1.31832585820717,-1.11716134423275,-0.375197234747053,-2.82623293226329,-2.93236128312464,-2.38835545662634,-1.39213709716876,-0.0276749584428483,-1.88363524330822,-1.2827897009804,-0.267079617891743,-1.83135796444116,-0.0877333719335504,-1.83135796444116,-5.57346686188333,-0.118726938570751,-0.0130430374755989,-0.940644722383579,-1.83135796444116,-2.11403524324603,-3.45798964446339,-2.38835545662634,-2.63486740654747,-5.01158797427521,-1.05589120089205,-1.9378782880922,-4.29335894269059,-2.72737954533701,-1.68501351453148,-1.99424073071132
"CFLAR",6.76753562797632,6.24737690633179,5.54259855991107,7.09160463850812,5.54507258258058,6.96798704020758,4.98509051552989,4.41013754975789,5.47641409275228,6.67991636081821,4.64449083598079,4.21342505295477,6.21433855090616,6.06998136536754,5.70213111852307,5.95631226194267,5.39749495328906,5.97248588352883,5.21182990435769,4.87730254099799,5.6366536191475,6.52373444189176,7.78320125273046,6.1846968541305,4.94115327291128,7.26782603072588,5.46306656170352,5.72003215711902,5.53763775025765,5.02728677617371,7.07864185438367,5.465027589224,5.33202759444688,5.63084226794964,6.34182567602914,6.44676902344964,7.51160244756047,5.39097715502013,6.71864931441216,5.40330181208401,6.24243101851381,5.67640846588804
"TFPI",4.668516287811,3.73779490541058,1.90727526299938,4.11943918357236,1.48594198341242,3.74642026577657,1.02219023963407,-1.55215635563791,2.41440618208775,7.54381290742836,2.95810026172325,0.264236151043547,3.82690435054434,3.42236757416767,2.9412941496344,3.17008529198643,1.20851725980554,4.04360698009683,2.92618923436347,3.74856857239182,2.23603333200583,3.51740168727463,5.84250120559536,3.9468244170964,3.19865130140253,5.29355441462571,4.24724396967738,3.08593447251603,2.12796337812358,3.12449357219531,2.35360559133812,0.816394909169121,0.774839759827326,1.9452331231349,1.98586470124253,2.00396196615242,3.43442807108808,4.42767321095672,0.67897330785417,1.37350901551801,3.17168721868987,1.62339868237726
"CD38",1.88009774972197,-1.51045706435753,3.41967371652588,5.14897476615853,4.46080807978797,3.22666265566117,0.112366523072563,0.783247097378116,1.29337048420475,2.14110576043013,-1.2827897009804,1.94148196386898,3.26768560285999,3.34070468006655,3.54114309068279,-0.554273296650016,4.8909816455926,3.36050474633969,0.687956494044482,0.0299828662157143,1.8682916687728,5.05315479047504,2.19250981894195,1.26363540356833,-9.96578428466209,5.00274751952335,-4.0350469470992,0.67897330785417,2.34794906560173,3.06022035831686,5.87334567367455,2.29601682253322,2.09457389798005,3.17328736863307,0.0854246562526777,4.00459127697631,6.23383055364549,2.41980852893928,5.25704834509351,2.42250213510056,3.30465705618596,2.82802220679368
"COPZ2",5.30052645123288,5.34273251141775,3.20648694439261,3.16204886834889,2.31063095723059,4.4666923693593,3.40476690961225,-2.05289494843213,2.80549883497892,4.16277398244944,4.95610313024108,-2.11403524324603,5.19538697264956,2.16703672211749,3.26618685450072,5.00049584120248,3.44241275178282,4.24648409657392,3.34780736791062,3.9040986854792,5.19696106521006,4.55771641436072,5.51352232788343,3.99738274263174,4.8364796271292,5.82020449661472,0.585923976958601,4.0985374642271,1.88401173758352,4.49575911045506,3.8279206192824,6.1550408237265,4.05058876150885,2.97103765983029,5.16434381385008,3.87095647309494,4.40265396915153,4.6645397278488,3.82690435054434,3.35346444815542,2.26633679942013,3.28998197246672
"PON1",-5.57346686188333,-2.72737954533701,-1.02620507034739,1.11835972595306,-1.24810786159569,0.832687516439532,-3.17136841831198,-9.96578428466209,-2.82623293226329,-1.99424073071132,-2.2446850959549,-4.608232280044,0.633198686374004,-0.758769964484555,0.401630466584741,-2.82623293226329,-3.30757280191029,1.50639883152745,-2.11403524324603,-1.31832585820717,1.36793014143188,0.633198686374004,-3.17136841831198,0.0157829972409275,-9.96578428466209,-1.02620507034739,-9.96578428466209,-0.182786075741673,-0.859875776090929,-3.17136841831198,-2.2446850959549,2.95995557967556,-2.17788172527066,-9.96578428466209,-1.73216460790239,-4.0350469470992,-5.01158797427521,1.68750866072073,0.919149363287674,0.0989584800881688,-1.11716134423275,-3.62593428177746
"ITGAL",6.97832149384097,2.11470017240548,3.92988565964185,6.85936084495586,4.60116164570521,5.67273647793745,3.50728722964536,2.65786862339084,4.81152240764353,4.16920347352485,-0.320125852253377,3.03227720097433,5.79937229310836,4.02511740940147,3.30173395713938,4.15226455822668,5.61826802612387,5.56623674259629,2.625504294584,1.25761413004954,4.16438404348467,7.06760645204414,6.27744549503391,3.56693689529116,0.714575238851626,6.62601561141793,-1.68501351453148,-1.9378782880922,4.09937937312173,3.03755793542403,6.84324271528281,2.93376146033326,3.49582305545168,4.68150548772064,1.7995018140616,5.6299685427286,8.02680559113925,2.63946371690372,6.49042572536166,3.95521979535127,4.48935025516928,4.73882186931048
