"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"FYN","HAVANA","gene",NA,NA,"ENSG00000010810.13","protein_coding","FYN","2","OTTHUMG00000016305.8",NA,"ENSG00000010810",NA
"PLAUR","HAVANA","gene",NA,NA,"ENSG00000011422.7","protein_coding","PLAUR","2","OTTHUMG00000182778.1","ncRNA_host","ENSG00000011422",NA
"DCN","HAVANA","gene",NA,NA,"ENSG00000011465.12","protein_coding","DCN","1","OTTHUMG00000169998.4",NA,"ENSG00000011465",NA
"BRCA1","HAVANA","gene",NA,NA,"ENSG00000012048.15","protein_coding","BRCA1","2","OTTHUMG00000157426.5",NA,"ENSG00000012048",NA
"ELOVL5","HAVANA","gene",NA,NA,"ENSG00000012660.9","protein_coding","ELOVL5","2","OTTHUMG00000016249.1",NA,"ENSG00000012660",NA
"ALOX5","HAVANA","gene",NA,NA,"ENSG00000012779.6","protein_coding","ALOX5","2","OTTHUMG00000018081.2",NA,"ENSG00000012779",NA
"KDM5D","HAVANA","gene",NA,NA,"ENSG00000012817.11","protein_coding","KDM5D","2","OTTHUMG00000036508.2",NA,"ENSG00000012817",NA
"NUB1","HAVANA","gene",NA,NA,"ENSG00000013374.11","protein_coding","NUB1","2","OTTHUMG00000157365.3",NA,"ENSG00000013374",NA
"GPRC5A","HAVANA","gene",NA,NA,"ENSG00000013588.5","protein_coding","GPRC5A","2","OTTHUMG00000168710.1","ncRNA_host","ENSG00000013588",NA
"CD6","HAVANA","gene",NA,NA,"ENSG00000013725.10","protein_coding","CD6","2","OTTHUMG00000167823.1",NA,"ENSG00000013725",NA
"TACC3","HAVANA","gene",NA,NA,"ENSG00000013810.14","protein_coding","TACC3","1","OTTHUMG00000089535.18",NA,"ENSG00000013810",NA
"WAS","HAVANA","gene",NA,NA,"ENSG00000015285.6","protein_coding","WAS","2","OTTHUMG00000034483.1",NA,"ENSG00000015285",NA
"ISL1","HAVANA","gene",NA,NA,"ENSG00000016082.10","protein_coding","ISL1","2","OTTHUMG00000162281.6",NA,"ENSG00000016082",NA
"SLC11A1","HAVANA","gene",NA,NA,"ENSG00000018280.12","protein_coding","SLC11A1","2","OTTHUMG00000086747.2",NA,"ENSG00000018280",NA
"WWTR1","HAVANA","gene",NA,NA,"ENSG00000018408.10","protein_coding","WWTR1","1","OTTHUMG00000159614.11",NA,"ENSG00000018408",NA
"MARCO","HAVANA","gene",NA,NA,"ENSG00000019169.9","protein_coding","MARCO","2","OTTHUMG00000131400.2",NA,"ENSG00000019169",NA
"SNAI2","HAVANA","gene",NA,NA,"ENSG00000019549.4","protein_coding","SNAI2","2","OTTHUMG00000149912.3",NA,"ENSG00000019549",NA
"CD74","HAVANA","gene",NA,NA,"ENSG00000019582.10","protein_coding","CD74","2","OTTHUMG00000163559.3",NA,"ENSG00000019582",NA
"HGF","HAVANA","gene",NA,NA,"ENSG00000019991.11","protein_coding","HGF","2","OTTHUMG00000023804.6",NA,"ENSG00000019991",NA
"RUNX3","HAVANA","gene",NA,NA,"ENSG00000020633.14","protein_coding","RUNX3","2","OTTHUMG00000003316.1",NA,"ENSG00000020633",NA
"FHL1","HAVANA","gene",NA,NA,"ENSG00000022267.12","protein_coding","FHL1","2","OTTHUMG00000022504.1",NA,"ENSG00000022267",NA
"BIRC3","HAVANA","gene",NA,NA,"ENSG00000023445.9","protein_coding","BIRC3","1","OTTHUMG00000167324.3",NA,"ENSG00000023445",NA
"PLEKHO1","HAVANA","gene",NA,NA,"ENSG00000023902.9","protein_coding","PLEKHO1","2","OTTHUMG00000012510.4",NA,"ENSG00000023902",NA
"GCLM","HAVANA","gene",NA,NA,"ENSG00000023909.5","protein_coding","GCLM","2","OTTHUMG00000010562.1",NA,"ENSG00000023909",NA
"DEPDC1","HAVANA","gene",NA,NA,"ENSG00000024526.12","protein_coding","DEPDC1","2","OTTHUMG00000009212.3",NA,"ENSG00000024526",NA
"RRAGD","HAVANA","gene",NA,NA,"ENSG00000025039.10","protein_coding","RRAGD","2","OTTHUMG00000015200.2",NA,"ENSG00000025039",NA
"TYMP","HAVANA","gene",NA,NA,"ENSG00000025708.8","protein_coding","TYMP","1","OTTHUMG00000150249.1",NA,"ENSG00000025708",NA
"VIM","HAVANA","gene",NA,NA,"ENSG00000026025.9","protein_coding","VIM","2","OTTHUMG00000017744.3",NA,"ENSG00000026025",NA
"FAS","HAVANA","gene",NA,NA,"ENSG00000026103.15","protein_coding","FAS","1","OTTHUMG00000018701.5",NA,"ENSG00000026103",NA
"CD44","HAVANA","gene",NA,NA,"ENSG00000026508.12","protein_coding","CD44","1","OTTHUMG00000044388.7",NA,"ENSG00000026508",NA
"KCNG1","HAVANA","gene",NA,NA,"ENSG00000026559.9","protein_coding","KCNG1","2","OTTHUMG00000032745.5",NA,"ENSG00000026559",NA
"SLAMF7","HAVANA","gene",NA,NA,"ENSG00000026751.12","protein_coding","SLAMF7","2","OTTHUMG00000024008.3",NA,"ENSG00000026751",NA
"PRKCH","HAVANA","gene",NA,NA,"ENSG00000027075.9","protein_coding","PRKCH","1","OTTHUMG00000152341.4",NA,"ENSG00000027075",NA
"SH2D2A","HAVANA","gene",NA,NA,"ENSG00000027869.7","protein_coding","SH2D2A","2","OTTHUMG00000041305.2",NA,"ENSG00000027869",NA
"TNFRSF1B","HAVANA","gene",NA,NA,"ENSG00000028137.12","protein_coding","TNFRSF1B","2","OTTHUMG00000001829.1","ncRNA_host","ENSG00000028137",NA
"IBSP","HAVANA","gene",NA,NA,"ENSG00000029559.5","protein_coding","IBSP","2","OTTHUMG00000130600.2",NA,"ENSG00000029559",NA
"GRN","HAVANA","gene",NA,NA,"ENSG00000030582.12","protein_coding","GRN","1","OTTHUMG00000181816.1",NA,"ENSG00000030582",NA
"GAB2","HAVANA","gene",NA,NA,"ENSG00000033327.8","protein_coding","GAB2","2","OTTHUMG00000166673.1",NA,"ENSG00000033327",NA
"MAP2K3","HAVANA","gene",NA,NA,"ENSG00000034152.14","protein_coding","MAP2K3","1","OTTHUMG00000134322.5",NA,"ENSG00000034152",NA
"VCL","HAVANA","gene",NA,NA,"ENSG00000035403.12","protein_coding","VCL","2","OTTHUMG00000018498.2",NA,"ENSG00000035403",NA
"TIMP2","HAVANA","gene",NA,NA,"ENSG00000035862.8","protein_coding","TIMP2","2","OTTHUMG00000154517.4",NA,"ENSG00000035862",NA
"CUL3","HAVANA","gene",NA,NA,"ENSG00000036257.8","protein_coding","CUL3","1","OTTHUMG00000133167.3",NA,"ENSG00000036257",NA
"TRIO","HAVANA","gene",NA,NA,"ENSG00000038382.13","protein_coding","TRIO","2","OTTHUMG00000131057.8",NA,"ENSG00000038382",NA
"VCAN","HAVANA","gene",NA,NA,"ENSG00000038427.11","protein_coding","VCAN","2","OTTHUMG00000131321.5",NA,"ENSG00000038427",NA
"MSR1","HAVANA","gene",NA,NA,"ENSG00000038945.10","protein_coding","MSR1","1","OTTHUMG00000094809.4",NA,"ENSG00000038945",NA
"CDH1","HAVANA","gene",NA,NA,"ENSG00000039068.14","protein_coding","CDH1","2","OTTHUMG00000137561.5","ncRNA_host","ENSG00000039068",NA
"ZFYVE16","HAVANA","gene",NA,NA,"ENSG00000039319.12","protein_coding","ZFYVE16","2","OTTHUMG00000108178.2",NA,"ENSG00000039319",NA
"C6","HAVANA","gene",NA,NA,"ENSG00000039537.9","protein_coding","C6","1","OTTHUMG00000094781.4",NA,"ENSG00000039537",NA
"TNC","HAVANA","gene",NA,NA,"ENSG00000041982.10","protein_coding","TNC","1","OTTHUMG00000021010.4",NA,"ENSG00000041982",NA
"LCP2","HAVANA","gene",NA,NA,"ENSG00000043462.7","protein_coding","LCP2","2","OTTHUMG00000163121.2",NA,"ENSG00000043462",NA
"GPM6B","HAVANA","gene",NA,NA,"ENSG00000046653.10","protein_coding","GPM6B","2","OTTHUMG00000021162.3",NA,"ENSG00000046653",NA
"CP","HAVANA","gene",NA,NA,"ENSG00000047457.9","protein_coding","CP","1","OTTHUMG00000159563.4",NA,"ENSG00000047457",NA
"SCML1","HAVANA","gene",NA,NA,"ENSG00000047634.10","protein_coding","SCML1","2","OTTHUMG00000021206.6",NA,"ENSG00000047634",NA
"HDAC9","HAVANA","gene",NA,NA,"ENSG00000048052.17","protein_coding","HDAC9","1","OTTHUMG00000152487.7","ncRNA_host","ENSG00000048052",NA
"LMO3","HAVANA","gene",NA,NA,"ENSG00000048540.10","protein_coding","LMO3","1","OTTHUMG00000168837.2",NA,"ENSG00000048540",NA
"UTS2","HAVANA","gene",NA,NA,"ENSG00000049247.9","protein_coding","UTS2","2","OTTHUMG00000001218.1",NA,"ENSG00000049247",NA
"TNFRSF9","HAVANA","gene",NA,NA,"ENSG00000049249.4","protein_coding","TNFRSF9","1","OTTHUMG00000001223.3",NA,"ENSG00000049249",NA
"LTBP1","HAVANA","gene",NA,NA,"ENSG00000049323.11","protein_coding","LTBP1","1","OTTHUMG00000152118.13","ncRNA_host","ENSG00000049323",NA
"ELN","HAVANA","gene",NA,NA,"ENSG00000049540.12","protein_coding","ELN","2","OTTHUMG00000150229.12",NA,"ENSG00000049540",NA
"FOXP3","HAVANA","gene",NA,NA,"ENSG00000049768.10","protein_coding","FOXP3","2","OTTHUMG00000024135.3",NA,"ENSG00000049768",NA
"PTGER3","HAVANA","gene",NA,NA,"ENSG00000050628.16","protein_coding","PTGER3","2","OTTHUMG00000009399.4",NA,"ENSG00000050628",NA
"CYFIP2","HAVANA","gene",NA,NA,"ENSG00000055163.14","protein_coding","CYFIP2","1","OTTHUMG00000163484.3",NA,"ENSG00000055163",NA
"TRAF1","HAVANA","gene",NA,NA,"ENSG00000056558.6","protein_coding","TRAF1","2","OTTHUMG00000020578.1",NA,"ENSG00000056558",NA
"GYG2","HAVANA","gene",NA,NA,"ENSG00000056998.14","protein_coding","GYG2","2","OTTHUMG00000021079.3",NA,"ENSG00000056998",NA
"SOAT1","HAVANA","gene",NA,NA,"ENSG00000057252.8","protein_coding","SOAT1","2","OTTHUMG00000035253.2",NA,"ENSG00000057252",NA
"PKP2","HAVANA","gene",NA,NA,"ENSG00000057294.9","protein_coding","PKP2","2","OTTHUMG00000169500.2",NA,"ENSG00000057294",NA
"LAMC2","HAVANA","gene",NA,NA,"ENSG00000058085.10","protein_coding","LAMC2","2","OTTHUMG00000035520.3",NA,"ENSG00000058085",NA
"CDK14","HAVANA","gene",NA,NA,"ENSG00000058091.12","protein_coding","CDK14","2","OTTHUMG00000023649.9",NA,"ENSG00000058091",NA
"PPP1R12A","HAVANA","gene",NA,NA,"ENSG00000058272.11","protein_coding","PPP1R12A","1","OTTHUMG00000170100.2","ncRNA_host","ENSG00000058272",NA
"TBXAS1","HAVANA","gene",NA,NA,"ENSG00000059377.11","protein_coding","TBXAS1","1","OTTHUMG00000157302.5",NA,"ENSG00000059377",NA
"SLC2A3","HAVANA","gene",NA,NA,"ENSG00000059804.11","protein_coding","SLC2A3","2","OTTHUMG00000133685.2",NA,"ENSG00000059804",NA
"COL11A1","HAVANA","gene",NA,NA,"ENSG00000060718.14","protein_coding","COL11A1","2","OTTHUMG00000010872.5",NA,"ENSG00000060718",NA
"ACAA1","HAVANA","gene",NA,NA,"ENSG00000060971.13","protein_coding","ACAA1","2","OTTHUMG00000131087.5","ncRNA_host","ENSG00000060971",NA
"BCAT1","HAVANA","gene",NA,NA,"ENSG00000060982.10","protein_coding","BCAT1","2","OTTHUMG00000169053.1",NA,"ENSG00000060982",NA
"PRDM6","HAVANA","gene",NA,NA,"ENSG00000061455.10","protein_coding","PRDM6","2","OTTHUMG00000150469.3",NA,"ENSG00000061455",NA
"CDH3","HAVANA","gene",NA,NA,"ENSG00000062038.9","protein_coding","CDH3","2","OTTHUMG00000137560.4",NA,"ENSG00000062038",NA
"LTK","HAVANA","gene",NA,NA,"ENSG00000062524.11","protein_coding","LTK","1","OTTHUMG00000130339.2",NA,"ENSG00000062524",NA
"ST3GAL6","HAVANA","gene",NA,NA,"ENSG00000064225.8","protein_coding","ST3GAL6","1","OTTHUMG00000159047.5",NA,"ENSG00000064225",NA
"NGFR","HAVANA","gene",NA,NA,"ENSG00000064300.4","protein_coding","NGFR","1","OTTHUMG00000161495.1",NA,"ENSG00000064300",NA
"CALCRL","HAVANA","gene",NA,NA,"ENSG00000064989.8","protein_coding","CALCRL","2","OTTHUMG00000132636.3",NA,"ENSG00000064989",NA
"TRAM2","HAVANA","gene",NA,NA,"ENSG00000065308.4","protein_coding","TRAM2","2","OTTHUMG00000014850.1",NA,"ENSG00000065308",NA
"ERBB3","HAVANA","gene",NA,NA,"ENSG00000065361.10","protein_coding","ERBB3","2","OTTHUMG00000170140.4",NA,"ENSG00000065361",NA
"COL17A1","HAVANA","gene",NA,NA,"ENSG00000065618.12","protein_coding","COL17A1","2","OTTHUMG00000018998.2","ncRNA_host","ENSG00000065618",NA
"TBC1D1","HAVANA","gene",NA,NA,"ENSG00000065882.11","protein_coding","TBC1D1","1","OTTHUMG00000150302.7",NA,"ENSG00000065882",NA
"ASPM","HAVANA","gene",NA,NA,"ENSG00000066279.12","protein_coding","ASPM","2","OTTHUMG00000036277.1",NA,"ENSG00000066279",NA
"FGFR2","HAVANA","gene",NA,NA,"ENSG00000066468.16","protein_coding","FGFR2","2","OTTHUMG00000019175.8",NA,"ENSG00000066468",NA
"STAG3","HAVANA","gene",NA,NA,"ENSG00000066923.13","protein_coding","STAG3","2","OTTHUMG00000155183.15",NA,"ENSG00000066923",NA
"DDX3Y","HAVANA","gene",NA,NA,"ENSG00000067048.12","protein_coding","DDX3Y","2","OTTHUMG00000036324.1",NA,"ENSG00000067048",NA
"PFKP","HAVANA","gene",NA,NA,"ENSG00000067057.12","protein_coding","PFKP","2","OTTHUMG00000017556.3",NA,"ENSG00000067057",NA
"TNFRSF1A","HAVANA","gene",NA,NA,"ENSG00000067182.3","protein_coding","TNFRSF1A","1","OTTHUMG00000168267.2",NA,"ENSG00000067182",NA
"PKM","HAVANA","gene",NA,NA,"ENSG00000067225.13","protein_coding","PKM","1","OTTHUMG00000172709.3",NA,"ENSG00000067225",NA
"GAL","HAVANA","gene",NA,NA,"ENSG00000069482.6","protein_coding","GAL","2","OTTHUMG00000167890.2",NA,"ENSG00000069482",NA
"MAOB","HAVANA","gene",NA,NA,"ENSG00000069535.12","protein_coding","MAOB","2","OTTHUMG00000021388.3",NA,"ENSG00000069535",NA
"HES2","HAVANA","gene",NA,NA,"ENSG00000069812.7","protein_coding","HES2","2","OTTHUMG00000000752.2",NA,"ENSG00000069812",NA
"RAB27A","HAVANA","gene",NA,NA,"ENSG00000069974.11","protein_coding","RAB27A","2","OTTHUMG00000131959.2",NA,"ENSG00000069974",NA
"LRP6","HAVANA","gene",NA,NA,"ENSG00000070018.4","protein_coding","LRP6","1","OTTHUMG00000168540.1",NA,"ENSG00000070018",NA
"DAPP1","HAVANA","gene",NA,NA,"ENSG00000070190.8","protein_coding","DAPP1","2","OTTHUMG00000160974.2",NA,"ENSG00000070190",NA
"FGF10","HAVANA","gene",NA,NA,"ENSG00000070193.4","protein_coding","FGF10","2","OTTHUMG00000131153.2",NA,"ENSG00000070193",NA
"JMJD6","HAVANA","gene",NA,NA,"ENSG00000070495.10","protein_coding","JMJD6","1","OTTHUMG00000169267.2",NA,"ENSG00000070495",NA
"CDC42","HAVANA","gene",NA,NA,"ENSG00000070831.11","protein_coding","CDC42","2","OTTHUMG00000002753.3",NA,"ENSG00000070831",NA
"ARHGAP10","HAVANA","gene",NA,NA,"ENSG00000071205.7","protein_coding","ARHGAP10","1","OTTHUMG00000161460.1","ncRNA_host","ENSG00000071205",NA
"TRIP13","HAVANA","gene",NA,NA,"ENSG00000071539.9","protein_coding","TRIP13","1","OTTHUMG00000090349.27",NA,"ENSG00000071539",NA
"TRIB2","HAVANA","gene",NA,NA,"ENSG00000071575.7","protein_coding","TRIB2","1","OTTHUMG00000090575.4","ncRNA_host","ENSG00000071575",NA
"HLTF","HAVANA","gene",NA,NA,"ENSG00000071794.11","protein_coding","HLTF","1","OTTHUMG00000159534.3",NA,"ENSG00000071794",NA
"CYBRD1","HAVANA","gene",NA,NA,"ENSG00000071967.7","protein_coding","CYBRD1","1","OTTHUMG00000132260.2",NA,"ENSG00000071967",NA
"CDH19","HAVANA","gene",NA,NA,"ENSG00000071991.4","protein_coding","CDH19","1","OTTHUMG00000132802.2",NA,"ENSG00000071991",NA
"SPEG","HAVANA","gene",NA,NA,"ENSG00000072195.10","protein_coding","SPEG","1","OTTHUMG00000058925.9",NA,"ENSG00000072195",NA
"ALDH3A2","HAVANA","gene",NA,NA,"ENSG00000072210.14","protein_coding","ALDH3A2","1","OTTHUMG00000059471.6","ncRNA_host","ENSG00000072210",NA
"TFRC","HAVANA","gene",NA,NA,"ENSG00000072274.8","protein_coding","TFRC","2","OTTHUMG00000155714.1",NA,"ENSG00000072274",NA
"FCGR2B","HAVANA","gene",NA,NA,"ENSG00000072694.14","protein_coding","FCGR2B","2","OTTHUMG00000034470.6",NA,"ENSG00000072694",NA
"NFATC3","HAVANA","gene",NA,NA,"ENSG00000072736.14","protein_coding","NFATC3","1","OTTHUMG00000137555.5","ncRNA_host","ENSG00000072736",NA
"ACAP1","HAVANA","gene",NA,NA,"ENSG00000072818.7","protein_coding","ACAP1","1","OTTHUMG00000102199.8",NA,"ENSG00000072818",NA
"FERMT2","HAVANA","gene",NA,NA,"ENSG00000073712.9","protein_coding","FERMT2","1","OTTHUMG00000140309.2",NA,"ENSG00000073712",NA
"PTGS2","HAVANA","gene",NA,NA,"ENSG00000073756.7","protein_coding","PTGS2","2","OTTHUMG00000035473.2",NA,"ENSG00000073756",NA
"TBX21","HAVANA","gene",NA,NA,"ENSG00000073861.2","protein_coding","TBX21","2","OTTHUMG00000178287.1",NA,"ENSG00000073861",NA
"NOTCH3","HAVANA","gene",NA,NA,"ENSG00000074181.4","protein_coding","NOTCH3","2","OTTHUMG00000183217.1",NA,"ENSG00000074181",NA
"CA12","HAVANA","gene",NA,NA,"ENSG00000074410.9","protein_coding","CA12","2","OTTHUMG00000132881.2",NA,"ENSG00000074410",NA
"NUAK1","HAVANA","gene",NA,NA,"ENSG00000074590.9","protein_coding","NUAK1","1","OTTHUMG00000169763.2",NA,"ENSG00000074590",NA
"ZNF532","HAVANA","gene",NA,NA,"ENSG00000074657.9","protein_coding","ZNF532","1","OTTHUMG00000132759.5",NA,"ENSG00000074657",NA
"ENO1","HAVANA","gene",NA,NA,"ENSG00000074800.9","protein_coding","ENO1","2","OTTHUMG00000001773.3",NA,"ENSG00000074800",NA
"TIPIN","HAVANA","gene",NA,NA,"ENSG00000075131.5","protein_coding","TIPIN","2","OTTHUMG00000133188.2","ncRNA_host","ENSG00000075131",NA
"SEMA3A","HAVANA","gene",NA,NA,"ENSG00000075213.6","protein_coding","SEMA3A","2","OTTHUMG00000023443.14",NA,"ENSG00000075213",NA
"SEMA3C","HAVANA","gene",NA,NA,"ENSG00000075223.9","protein_coding","SEMA3C","1","OTTHUMG00000023447.5",NA,"ENSG00000075223",NA
"FOSL2","HAVANA","gene",NA,NA,"ENSG00000075426.7","protein_coding","FOSL2","1","OTTHUMG00000097832.5",NA,"ENSG00000075426",NA
"FSCN1","HAVANA","gene",NA,NA,"ENSG00000075618.13","protein_coding","FSCN1","1","OTTHUMG00000090599.4",NA,"ENSG00000075618",NA
"ARHGAP15","HAVANA","gene",NA,NA,"ENSG00000075884.8","protein_coding","ARHGAP15","2","OTTHUMG00000131845.8",NA,"ENSG00000075884",NA
"UNG","HAVANA","gene",NA,NA,"ENSG00000076248.6","protein_coding","UNG","2","OTTHUMG00000169247.1",NA,"ENSG00000076248",NA
"ACACB","HAVANA","gene",NA,NA,"ENSG00000076555.11","protein_coding","ACACB","2","OTTHUMG00000169250.2",NA,"ENSG00000076555",NA
"MCAM","HAVANA","gene",NA,NA,"ENSG00000076706.10","protein_coding","MCAM","2","OTTHUMG00000166197.4",NA,"ENSG00000076706",NA
"IL4R","HAVANA","gene",NA,NA,"ENSG00000077238.9","protein_coding","IL4R","1","OTTHUMG00000097015.9",NA,"ENSG00000077238",NA
"TYR","HAVANA","gene",NA,NA,"ENSG00000077498.8","protein_coding","TYR","2","OTTHUMG00000167294.2",NA,"ENSG00000077498",NA
"FGFR1","HAVANA","gene",NA,NA,"ENSG00000077782.15","protein_coding","FGFR1","1","OTTHUMG00000147366.11",NA,"ENSG00000077782",NA
"CST7","HAVANA","gene",NA,NA,"ENSG00000077984.4","protein_coding","CST7","2","OTTHUMG00000032108.2",NA,"ENSG00000077984",NA
"LAMP3","HAVANA","gene",NA,NA,"ENSG00000078081.3","protein_coding","LAMP3","1","OTTHUMG00000158387.1",NA,"ENSG00000078081",NA
"FAP","HAVANA","gene",NA,NA,"ENSG00000078098.9","protein_coding","FAP","2","OTTHUMG00000153890.7",NA,"ENSG00000078098",NA
"SYNJ2","HAVANA","gene",NA,NA,"ENSG00000078269.9","protein_coding","SYNJ2","2","OTTHUMG00000015904.3",NA,"ENSG00000078269",NA
"ADCY2","HAVANA","gene",NA,NA,"ENSG00000078295.11","protein_coding","ADCY2","2","OTTHUMG00000090476.4",NA,"ENSG00000078295",NA
"EDN1","HAVANA","gene",NA,NA,"ENSG00000078401.6","protein_coding","EDN1","2","OTTHUMG00000014266.1",NA,"ENSG00000078401",NA
"P2RY10","HAVANA","gene",NA,NA,"ENSG00000078589.8","protein_coding","P2RY10","2","OTTHUMG00000021896.1",NA,"ENSG00000078589",NA
"ITCH","HAVANA","gene",NA,NA,"ENSG00000078747.8","protein_coding","ITCH","2","OTTHUMG00000032300.2","ncRNA_host","ENSG00000078747",NA
"RUNX1T1","HAVANA","gene",NA,NA,"ENSG00000079102.12","protein_coding","RUNX1T1","2","OTTHUMG00000164066.4",NA,"ENSG00000079102",NA
"SLC1A3","HAVANA","gene",NA,NA,"ENSG00000079215.9","protein_coding","SLC1A3","2","OTTHUMG00000090793.2",NA,"ENSG00000079215",NA
"XRCC5","HAVANA","gene",NA,NA,"ENSG00000079246.11","protein_coding","XRCC5","2","OTTHUMG00000133059.4",NA,"ENSG00000079246",NA
