"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"FGR","HAVANA","gene",NA,NA,"ENSG00000000938.8","protein_coding","FGR","2","OTTHUMG00000003516.1",NA,"ENSG00000000938",NA
"CFH","HAVANA","gene",NA,NA,"ENSG00000000971.11","protein_coding","CFH","1","OTTHUMG00000035607.4",NA,"ENSG00000000971",NA
"CD99","HAVANA","gene",NA,NA,"ENSG00000002586.13","protein_coding","CD99","2","OTTHUMG00000021073.5",NA,"ENSG00000002586",NA
"HS3ST1","HAVANA","gene",NA,NA,"ENSG00000002587.5","protein_coding","HS3ST1","2","OTTHUMG00000090547.4","ncRNA_host","ENSG00000002587",NA
"CFLAR","HAVANA","gene",NA,NA,"ENSG00000003402.15","protein_coding","CFLAR","1","OTTHUMG00000132819.17","ncRNA_host","ENSG00000003402",NA
"TFPI","HAVANA","gene",NA,NA,"ENSG00000003436.10","protein_coding","TFPI","2","OTTHUMG00000132634.5",NA,"ENSG00000003436",NA
"CD38","HAVANA","gene",NA,NA,"ENSG00000004468.8","protein_coding","CD38","2","OTTHUMG00000048206.4",NA,"ENSG00000004468",NA
"COPZ2","HAVANA","gene",NA,NA,"ENSG00000005243.5","protein_coding","COPZ2","2","OTTHUMG00000178684.1","ncRNA_host","ENSG00000005243",NA
"PON1","HAVANA","gene",NA,NA,"ENSG00000005421.4","protein_coding","PON1","2","OTTHUMG00000153894.3",NA,"ENSG00000005421",NA
"ITGAL","HAVANA","gene",NA,NA,"ENSG00000005844.13","protein_coding","ITGAL","2","OTTHUMG00000176964.3","ncRNA_host","ENSG00000005844",NA
"ITGA3","HAVANA","gene",NA,NA,"ENSG00000005884.13","protein_coding","ITGA3","2","OTTHUMG00000161890.5",NA,"ENSG00000005884",NA
"GDE1","HAVANA","gene",NA,NA,"ENSG00000006007.7","protein_coding","GDE1","2","OTTHUMG00000131454.4",NA,"ENSG00000006007",NA
"CCL18","HAVANA","gene",NA,NA,"ENSG00000006074.4","protein_coding","CCL18","2","OTTHUMG00000133001.2",NA,"ENSG00000006074",NA
"CCL3","HAVANA","gene",NA,NA,"ENSG00000006075.11","protein_coding","CCL3","2","OTTHUMG00000133000.2",NA,"ENSG00000006075",NA
"TMEM132A","HAVANA","gene",NA,NA,"ENSG00000006118.10","protein_coding","TMEM132A","1","OTTHUMG00000167803.1",NA,"ENSG00000006118",NA
"TNFRSF12A","HAVANA","gene",NA,NA,"ENSG00000006327.9","protein_coding","TNFRSF12A","2","OTTHUMG00000129001.2",NA,"ENSG00000006327",NA
"CCL26","HAVANA","gene",NA,NA,"ENSG00000006606.4","protein_coding","CCL26","2","OTTHUMG00000130403.2",NA,"ENSG00000006606",NA
"USH1C","HAVANA","gene",NA,NA,"ENSG00000006611.11","protein_coding","USH1C","2","OTTHUMG00000166323.1",NA,"ENSG00000006611",NA
"SCIN","HAVANA","gene",NA,NA,"ENSG00000006747.10","protein_coding","SCIN","1","OTTHUMG00000152385.2",NA,"ENSG00000006747",NA
"ADIPOR2","HAVANA","gene",NA,NA,"ENSG00000006831.9","protein_coding","ADIPOR2","1","OTTHUMG00000130139.2",NA,"ENSG00000006831",NA
"CEACAM21","HAVANA","gene",NA,NA,"ENSG00000007129.13","protein_coding","CEACAM21","2","OTTHUMG00000151062.5",NA,"ENSG00000007129",NA
"CD79B","HAVANA","gene",NA,NA,"ENSG00000007312.8","protein_coding","CD79B","2","OTTHUMG00000172294.2",NA,"ENSG00000007312",NA
"PAX6","HAVANA","gene",NA,NA,"ENSG00000007372.16","protein_coding","PAX6","1","OTTHUMG00000041447.11",NA,"ENSG00000007372",NA
"SELE","HAVANA","gene",NA,NA,"ENSG00000007908.11","protein_coding","SELE","2","OTTHUMG00000034851.6",NA,"ENSG00000007908",NA
"FMO3","HAVANA","gene",NA,NA,"ENSG00000007933.8","protein_coding","FMO3","2","OTTHUMG00000035505.3",NA,"ENSG00000007933",NA
"ADAM22","HAVANA","gene",NA,NA,"ENSG00000008277.10","protein_coding","ADAM22","1","OTTHUMG00000137417.9",NA,"ENSG00000008277",NA
"CELSR3","HAVANA","gene",NA,NA,"ENSG00000008300.10","protein_coding","CELSR3","2","OTTHUMG00000133544.2","ncRNA_host","ENSG00000008300",NA
"MGST1","HAVANA","gene",NA,NA,"ENSG00000008394.8","protein_coding","MGST1","1","OTTHUMG00000168816.3",NA,"ENSG00000008394",NA
"PGLYRP1","HAVANA","gene",NA,NA,"ENSG00000008438.4","protein_coding","PGLYRP1","2","OTTHUMG00000182489.1",NA,"ENSG00000008438",NA
"ST3GAL1","HAVANA","gene",NA,NA,"ENSG00000008513.10","protein_coding","ST3GAL1","2","OTTHUMG00000164534.1",NA,"ENSG00000008513",NA
"IL32","HAVANA","gene",NA,NA,"ENSG00000008517.12","protein_coding","IL32","2","OTTHUMG00000167498.5","ncRNA_host","ENSG00000008517",NA
"TRAF3IP3","HAVANA","gene",NA,NA,"ENSG00000009790.10","protein_coding","TRAF3IP3","1","OTTHUMG00000036480.6",NA,"ENSG00000009790",NA
"STAB1","HAVANA","gene",NA,NA,"ENSG00000010327.6","protein_coding","STAB1","2","OTTHUMG00000158574.3",NA,"ENSG00000010327",NA
"CD4","HAVANA","gene",NA,NA,"ENSG00000010610.5","protein_coding","CD4","1","OTTHUMG00000168514.1",NA,"ENSG00000010610",NA
"BTK","HAVANA","gene",NA,NA,"ENSG00000010671.11","protein_coding","BTK","2","OTTHUMG00000022022.2",NA,"ENSG00000010671",NA
