"","P8","P9","P10","P11","P15","P16","P18","P19","P22","P28","P30","P32","P33","P36","P38","P40","P42","P43","P45","P47","P51","P54","P61","P65","P68","P72","P73","P76","P89","P90","P91","P98","P99","P100","P101","P102","P106","P113","P114","P116","P117","P120","P123","P127","P128"
"CYT_Rooney",-0.813403379073084,-0.386563248833426,0.257910197639229,0.55724348110024,-0.93700340522138,0.385655323537524,-0.321793416572103,0.800227014755955,-0.492975306447159,-0.16628830874009,0.469920544835408,-0.87627695800231,0.595346197502834,-0.67273735234834,-0.357548240635668,-0.146424517593665,0.0198637911464128,-0.612372304199806,0.40295119182746,0.418823022368629,-0.644154370034086,-0.944381384790053,-0.949489216799133,-0.308784391868355,-0.291146424517619,-0.783200908059061,-0.422294740824853,0.272985244040851,0.587968217934162,-0.610170685754472,-0.427355278093105,-0.0374574347332708,-0.299958181492351,0.91827468785471,0.816118047673096,0.645289443813845,0.522701475595908,0.497162315550505,0.706015891032916,-0.0266742338252124,0.488649262202037,0.87854710556186,0.364358683314406,0.459137343927348,0.121245495718687
"Teff_McDermott",-0.507353288892367,-0.459513753990823,-0.398441689654848,0.502399638548863,-0.513399773967271,-0.0443433769187031,0.563599305877943,0.735076748152352,-0.0233086981239327,-0.500936655538696,0.196276047880085,-0.862288676801282,0.271473876118288,-0.603678066122752,-0.196254914556665,-0.392836839113155,0.168978152652776,-0.381508717337546,0.47173093301203,0.529425468161589,-0.214915907526854,-0.908638453191914,-0.819644731259061,-0.159181353041503,-0.507198767427912,-0.64736528206893,0.29172590085552,0.382494829698016,0.540648095508807,-0.422210828975308,0.123560785135096,-0.0997326368520921,-0.524729960204692,0.699147843284832,0.410698616425031,0.567385722652691,0.380973747855398,0.305834726764731,0.535309037683378,0.278306893175126,0.509312990856202,0.779420125071059,0.372408249231352,0.562819783968159,-0.693160317215797
