"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Melanoma","CXCL9",-0.238052300033997,0.104530192207061,-0.442927712056885,-0.0331768880111086,0.0227650668922473,0.118460029578028,0.338122431244122,0.0664221742638509
"Melanoma","CXCL10",-0.211733352176171,0.0994276371284669,-0.406607940015884,-0.0168587643364587,0.0332110871319255,0.0383771738986876,0.384832474496367,0.0664221742638509
"Melanoma","CD8A",-0.251502801224209,0.131990777580003,-0.510199971572453,0.00719436912403376,0.0567206425436557,0.361558525180732,0.180195140260802,0.075627523391541
"Melanoma","STAT1",-0.187996873335706,0.121587438896563,-0.426303874545433,0.0503101278740213,0.122059499672832,0.29953470878057,0.221837439558639,0.122059499672832
