"","Pt1","Pt2","Pt39","Pt82","Pt49","Pt85","Pt101","Pt47","Pt52","Pt67","Pt79","Pt98","Pt65","Pt90","Pt103","Pt17","Pt38","Pt48","Pt36","Pt46","Pt26","Pt106","Pt34"
"ITGA3",6.02655878371575,3.35860634755501,-0.108345515811136,2.70119736899106,4.15718437240259,8.68817741042483,2.78567440261186,7.82257915348055,4.80661151243032,3.75316062709767,4.87482544485502,4.61461580189125,5.29209973795763,3.42389464445071,2.53137446015247,3.0843225867861,4.09561952454677,1.86564494319482,3.6845477238144,3.50903549900971,4.62815244515171,6.02670533269698,3.32064704747049
"GDE1",5.61462153807723,7.20702758291486,3.95551431275522,4.54183291121231,5.23644944445355,6.00478005652832,4.56711597740779,5.73642689739449,5.34955337143477,4.73132107938925,4.98085438116987,5.05081155615747,5.89754228042019,5.04623907326858,4.79497406283764,5.6710626381305,5.34923570989301,4.65702867331743,6.24878769935995,5.73464767865588,6.03654371608128,5.54821529028227,6.07637350870293
"TMEM132A",1.04707362661691,3.77069873215512,2.000025108213,3.52385897210968,2.3726513093972,3.22528162425816,1.57309868256452,4.41296428541298,3.19701311530538,3.20430996557629,4.45738340347225,2.83070411533711,5.25330108396187,3.74332998931291,0.503313990100233,1.79213475909512,0.556090741976723,1.79413023311152,1.70016822910406,1.91412992534773,0.691681040058984,1.44195816588072,0.488090263758666
"TNFRSF12A",4.31880458901215,5.98995007284143,0.832066443017472,3.17017447837901,3.79524439846715,6.50939921225486,3.10996356056966,6.87864416331167,4.47112262481486,0.0585073067713328,2.8763432440311,1.87105846015115,5.34111695744961,5.26293398466212,4.36259423716416,3.62141156427776,5.01774269875487,2.77221313540293,4.4688347512497,4.44137025450219,4.39374483332511,4.34975976784735,3.83846728571917
"CCL26",2.15109031456688,-0.517620682511331,-2.85195586875761,0.963772345606662,-1.16121345104068,-1.53407624398914,-3.49751164069985,0.504358858558064,0.191785947360241,-9.96578428466209,-0.895186092566826,-9.96578428466209,-0.319475270454946,-1.05004456262772,-0.469846595970516,-3.51017997257538,-2.55146703909797,-1.56850155882606,2.04672214921638,-3.02014208269514,-9.96578428466209,2.18465795309798,0.403015948204692
"USH1C",-9.96578428466209,-4.00397739223701,-9.96578428466209,-1.63668416860846,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,0.885105679706385,4.00518453606205,-5.11575176657052,-3.05396218376548,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.50636959559065,-9.96578428466209,-4.87396101848919,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209
"SCIN",2.1183373759818,1.18139842982644,6.61756239587146,6.64708417719364,4.11991209261135,-1.9292361938057,-1.51128291631339,1.70673453850312,-0.267976733988531,5.45711932981652,2.84136648212262,7.94289771410969,2.09793840404796,6.72590441885551,-0.555400691641142,-1.11242619557792,6.21126401093,-0.110958682585318,0.336657422332334,2.71947899848381,-0.417954235970364,6.74511315257734,3.42667248258651
"ADIPOR2",5.83167360100575,5.97750309967181,5.36465332242821,5.7435101720968,5.69200102438415,5.43754456035921,4.46473903559275,5.70147834305493,5.52574841814149,5.52618533182477,6.57685076573305,6.01655085218451,5.33253298985631,5.23230253475037,2.59522991256936,6.29803105700377,6.17472285495839,4.77611264406108,5.23905161408005,4.00607502631016,6.62773063322064,5.75047502098254,4.99799908083964
"CEACAM21",2.37179778735756,1.93739087754336,-2.89284189027335,0.864255631807282,1.89295120135243,-0.405688414939464,5.28147172778759,2.01178427706078,0.246486809576186,0.655608460037336,1.00303542318429,-3.33192182248867,1.48119191931985,-0.177215814650631,0.771548246656014,-1.34622417676672,1.75660049330351,1.66959246872304,1.21270393040011,1.77970459365888,-1.14733361678413,2.0482376718498,3.09651363868395
"CD79B",4.16282114710792,1.41785418546328,3.27862566307572,4.50243525620674,4.50423169005155,-0.737394745203374,8.47216054056345,0.553531383342828,1.89801912361615,1.71726682850182,2.00575477367944,1.73356634906352,2.69836792329459,5.57879800989714,3.62506335203693,6.19616952823408,2.12036075818686,1.28829667788882,2.44291129512256,1.71728000375611,5.15708607859287,1.30860147320893,1.4079697413269
"PAX6",-3.02492634287167,-2.95399621339324,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.92143201862809,-1.83373739165611,-3.10465322600776,-2.39530895265428,-1.08137432609849,-9.96578428466209,-4.29241804933091,-0.552451874205717,-4.32411002950463,-9.96578428466209,-4.06073448644273,1.70926529461605,-6.10760480786565,-4.28458174240738,-3.60004165652355,-2.60906440410866,-3.88320553537481,-9.96578428466209
"SELE",0.37123986846402,2.66279642212871,-5.55691878161624,0.375296206758218,1.94300954624112,-3.0479580745361,2.27442314461255,2.6648239720847,1.29898716750769,-2.81299022356191,-3.27774421225722,-2.12932176607101,-1.65920594266632,3.42408907937558,-2.55233164816737,-2.02217660131289,-3.34112881264184,1.76694001196742,1.73417033898067,-1.12290245770653,-2.15106074088218,-2.25494388415538,-1.28436367572034
